dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.940300,15.999993,0.000030,0.005970,0.597015,59.701493,1.570803
0.010000,0.940300,16.000078,0.000115,0.008507,0.253688,-34.332706,1.570788
0.010000,0.940300,16.000383,0.000419,0.030425,2.191761,193.807333,1.570754
0.010000,0.940300,16.000924,0.000960,0.054089,2.366449,17.468769,1.570694
0.010000,0.940300,16.001769,0.001805,0.084517,3.042741,67.629210,1.570601
0.010000,0.940300,16.002952,0.002989,0.118328,3.381126,33.838508,1.570470
0.010000,0.940301,16.004473,0.004510,0.152144,3.381592,0.046601,1.570302
0.010000,0.940302,16.006333,0.006370,0.185966,3.382191,0.059844,1.570097
0.010000,0.940304,16.008531,0.008568,0.219795,3.382926,0.073505,1.569854
0.010000,0.940307,16.011067,0.011104,0.253633,3.383792,0.086639,1.569573
0.010000,0.940311,16.013942,0.013979,0.287481,3.384795,0.100276,1.569254
0.010000,0.940316,16.017156,0.017192,0.321340,3.385936,0.114135,1.568898
0.010000,0.940324,16.020708,0.020744,0.355212,3.387209,0.127309,1.568504
0.010000,0.940333,16.024599,0.024635,0.389098,3.388624,0.141523,1.568071
0.010000,0.940346,16.028829,0.028865,0.423000,3.390177,0.155276,1.567601
0.010000,0.940362,16.033398,0.033434,0.456919,3.391868,0.169128,1.567092
0.010000,0.940381,16.038306,0.038343,0.490856,3.393705,0.183660,1.566544
0.010000,0.940405,16.043554,0.043591,0.524813,3.395680,0.197448,1.565958
0.010000,0.940434,16.049142,0.049179,0.558791,3.397801,0.212148,1.565333
0.010000,0.940468,16.055070,0.055107,0.592791,3.400067,0.226603,1.564668
0.010000,0.940509,16.061338,0.061375,0.626816,3.402484,0.241661,1.563965
0.010000,0.940556,16.067947,0.067984,0.660867,3.405044,0.256050,1.563221
0.010000,0.940612,16.074896,0.074933,0.694944,3.407760,0.271622,1.562438
0.010000,0.940676,16.082186,0.082224,0.729051,3.410629,0.286858,1.561615
0.010000,0.940749,16.089818,0.089856,0.763187,3.413652,0.302326,1.560751
0.010000,0.940833,16.097791,0.097829,0.797355,3.416833,0.318039,1.559846
0.010000,0.940928,16.106106,0.106145,0.831557,3.420176,0.334316,1.558900
0.010000,0.941035,16.114763,0.114803,0.865794,3.423678,0.350267,1.557913
0.010000,0.941156,16.123763,0.123803,0.900067,3.427351,0.367268,1.556885
0.010000,0.941291,16.133106,0.133147,0.934379,3.431188,0.383645,1.555814
0.010000,0.941441,16.142792,0.142834,0.968731,3.435197,0.400966,1.554700
0.010000,0.941608,16.152822,0.152866,1.003125,3.439381,0.418389,1.553544
0.010000,0.941794,16.163196,0.163241,1.037563,3.443743,0.436166,1.552344
0.010000,0.941998,16.173914,0.173962,1.072045,3.448286,0.454354,1.551101
0.010000,0.942223,16.184978,0.185027,1.106576,3.453012,0.472525,1.549814
0.010000,0.942470,16.196386,0.196439,1.141155,3.457926,0.491468,1.548482
0.010000,0.942741,16.208141,0.208197,1.175785,3.463035,0.510891,1.547105
0.010000,0.943036,16.220242,0.220302,1.210469,3.468337,0.530163,1.545682
0.010000,0.943358,16.232690,0.232754,1.245207,3.473839,0.550206,1.544213
0.010000,0.943708,16.245485,0.245554,1.280002,3.479548,0.570945,1.542698
0.010000,0.944087,16.258629,0.258702,1.314857,3.485463,0.591486,1.541135
0.010000,0.944499,16.272120,0.272200,1.349773,3.491592,0.612914,1.539524
0.010000,0.944943,16.285960,0.286047,1.384752,3.497940,0.634816,1.537865
0.010000,0.945423,16.300150,0.300245,1.419797,3.504512,0.657131,1.536157
0.010000,0.945939,16.314690,0.314795,1.454911,3.511311,0.679946,1.534400
0.010000,0.946495,16.329581,0.329695,1.490094,3.518344,0.703278,1.532592
0.010000,0.947092,16.344823,0.344949,1.525350,3.525615,0.727140,1.530733
0.010000,0.947732,16.360416,0.360556,1.560682,3.533136,0.752069,1.528822
0.010000,0.948417,16.376362,0.376517,1.596091,3.540901,0.776512,1.526859
0.010000,0.949150,16.392662,0.392833,1.631580,3.548928,0.802642,1.524843
0.010000,0.949933,16.409315,0.409504,1.667152,3.557216,0.828848,1.522772
0.010000,0.950769,16.426322,0.426532,1.702810,3.565775,0.855859,1.520647
0.010000,0.951659,16.443685,0.443918,1.738556,3.574609,0.883475,1.518467
0.010000,0.952607,16.461404,0.461662,1.774393,3.583729,0.911985,1.516229
0.010000,0.953615,16.479479,0.479765,1.810325,3.593137,0.940779,1.513935
0.010000,0.954686,16.497911,0.498228,1.846353,3.602845,0.970751,1.511582
0.010000,0.955823,16.516702,0.517053,1.882482,3.612856,1.001188,1.509170
0.010000,0.957028,16.535851,0.536240,1.918713,3.623184,1.032766,1.506697
0.010000,0.958305,16.555360,0.555791,1.955052,3.633830,1.064544,1.504164
0.010000,0.959657,16.575229,0.575706,1.991500,3.644807,1.097747,1.501568
0.010000,0.961087,16.595459,0.595986,2.028061,3.656122,1.131454,1.498909
0.010000,0.962598,16.616051,0.616634,2.064739,3.667782,1.166007,1.496185
0.010000,0.964193,16.637006,0.637649,2.101537,3.679800,1.201835,1.493396
0.010000,0.965877,16.658324,0.659034,2.138459,3.692179,1.237855,1.490540
0.010000,0.967653,16.680006,0.680789,2.175508,3.704934,1.275584,1.487616
0.010000,0.969524,16.702054,0.702916,2.212689,3.718070,1.313590,1.484623
0.010000,0.971495,16.724468,0.725416,2.250005,3.731601,1.353086,1.481560
0.010000,0.973569,16.747248,0.748290,2.287460,3.745532,1.393086,1.478425
0.010000,0.975751,16.770396,0.771541,2.325059,3.759878,1.434603,1.475216
0.010000,0.978045,16.793913,0.795169,2.362805,3.774643,1.476517,1.471933
0.010000,0.980454,16.817798,0.819176,2.400704,3.789843,1.519980,1.468575
0.010000,0.982984,16.842054,0.843564,2.438758,3.805485,1.564189,1.465139
0.010000,0.985640,16.866681,0.868333,2.476974,3.821580,1.609484,1.461623
0.010000,0.988425,16.891680,0.893487,2.515356,3.838140,1.655994,1.458028
0.010000,0.991346,16.917052,0.919026,2.553907,3.855173,1.703301,1.454350
0.010000,0.994407,16.942797,0.944952,2.592634,3.872689,1.751665,1.450589
0.010000,0.997612,16.968916,0.971268,2.631541,3.890703,1.801338,1.446742
0.010000,1.000969,16.995411,0.997974,2.670633,3.909223,1.851996,1.442807
0.010000,1.004482,17.022281,1.025073,2.709916,3.928256,1.903295,1.438784
0.010000,1.008157,17.049528,1.052567,2.749394,3.947817,1.956135,1.434670
0.010000,1.012000,17.077153,1.080458,2.789073,3.967913,2.009557,1.430463
0.010000,1.016017,17.105156,1.108748,2.828959,3.988554,2.064141,1.426162
0.010000,1.020215,17.133538,1.137438,2.869056,4.009750,2.119639,1.421764
0.010000,1.024599,17.162299,1.166532,2.909371,4.031509,2.175872,1.417267
0.010000,1.029177,17.191441,1.196031,2.949910,4.053842,2.233328,1.412669
0.010000,1.033956,17.220964,1.225938,2.990677,4.076751,2.290881,1.407968
0.010000,1.038942,17.250867,1.256255,3.031680,4.100247,2.349621,1.403162
0.010000,1.044144,17.281153,1.286984,3.072923,4.124337,2.409010,1.398249
0.010000,1.049568,17.311821,1.318128,3.114413,4.149021,2.468345,1.393225
0.010000,1.055223,17.342872,1.349689,3.156157,4.174308,2.528679,1.388090
0.010000,1.061116,17.374306,1.381671,3.198159,4.200198,2.589050,1.382840
0.010000,1.067256,17.406123,1.414075,3.240425,4.226691,2.649313,1.377472
0.010000,1.073651,17.438324,1.446905,3.282963,4.253790,2.709896,1.371985
0.010000,1.080311,17.470908,1.480163,3.325778,4.281490,2.769945,1.366375
0.010000,1.087244,17.503876,1.513851,3.368876,4.309786,2.829604,1.360641
0.010000,1.094460,17.537227,1.547974,3.412263,4.338672,2.888616,1.354779
0.010000,1.101969,17.570961,1.582534,3.455944,4.368139,2.946699,1.348786
0.010000,1.109780,17.605077,1.617533,3.499926,4.398175,3.003587,1.342660
0.010000,1.117903,17.639576,1.652975,3.544214,4.428762,3.058697,1.336397
0.010000,1.126350,17.674456,1.688863,3.588812,4.459883,3.112155,1.329996
0.010000,1.135131,17.709716,1.725200,3.633728,4.491514,3.163106,1.323452
0.010000,1.144257,17.745356,1.761990,3.678964,4.523629,3.211444,1.316763
0.010000,1.153741,17.781374,1.799235,3.724526,4.556195,3.256642,1.309926
0.010000,1.163592,17.817768,1.836939,3.770418,4.589175,3.297960,1.302938
0.010000,1.173825,17.854537,1.875106,3.816643,4.622529,3.335373,1.295795
0.010000,1.184451,17.891679,1.913738,3.863205,4.656204,3.367545,1.288494
0.010000,1.195483,17.929191,1.952839,3.910106,4.690146,3.394219,1.281032
0.010000,1.206934,17.967072,1.992412,3.957349,4.724297,3.415071,1.273406
0.010000,1.218819,18.005317,2.032462,4.004935,4.758583,3.428590,1.265613
