dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.059700,16.000007,0.000030,0.005970,0.597015,59.701493,1.570803
0.010000,3.059700,16.000060,0.000083,0.005344,-0.062642,-65.965709,1.570788
0.010000,3.059700,16.000293,0.000316,0.023307,1.796298,185.894019,1.570754
0.010000,3.059700,16.000707,0.000731,0.041433,1.812655,1.635696,1.570694
0.010000,3.059700,16.001355,0.001378,0.064737,2.330394,51.773923,1.570601
0.010000,3.059700,16.002261,0.002284,0.090627,2.589022,25.862816,1.570470
0.010000,3.059701,16.003426,0.003449,0.116513,2.588557,-0.046521,1.570302
0.010000,3.059702,16.004850,0.004873,0.142393,2.587957,-0.059973,1.570097
0.010000,3.059703,16.006533,0.006556,0.168265,2.587226,-0.073184,1.569854
0.010000,3.059705,16.008474,0.008497,0.194128,2.586357,-0.086895,1.569573
0.010000,3.059708,16.010674,0.010697,0.219982,2.585353,-0.100335,1.569254
0.010000,3.059712,16.013132,0.013155,0.245824,2.584216,-0.113738,1.568898
0.010000,3.059718,16.015849,0.015872,0.271653,2.582938,-0.127816,1.568504
0.010000,3.059726,16.018823,0.018847,0.297469,2.581525,-0.141267,1.568071
0.010000,3.059735,16.022056,0.022079,0.323268,2.579973,-0.155258,1.567601
0.010000,3.059747,16.025547,0.025570,0.349051,2.578279,-0.169379,1.567092
0.010000,3.059762,16.029295,0.029318,0.374816,2.576447,-0.183205,1.566544
0.010000,3.059780,16.033300,0.033324,0.400560,2.574468,-0.197843,1.565958
0.010000,3.059802,16.037563,0.037586,0.426284,2.572348,-0.212047,1.565333
0.010000,3.059828,16.042083,0.042106,0.451985,2.570081,-0.226721,1.564668
0.010000,3.059859,16.046859,0.046883,0.477661,2.567668,-0.241236,1.563965
0.010000,3.059896,16.051892,0.051916,0.503312,2.565102,-0.256584,1.563221
0.010000,3.059938,16.057181,0.057205,0.528936,2.562389,-0.271373,1.562438
0.010000,3.059986,16.062727,0.062751,0.554531,2.559521,-0.286781,1.561615
0.010000,3.060042,16.068527,0.068552,0.580096,2.556497,-0.302396,1.560751
0.010000,3.060106,16.074583,0.074608,0.605630,2.553315,-0.318231,1.559846
0.010000,3.060178,16.080894,0.080919,0.631129,2.549974,-0.334065,1.558900
0.010000,3.060259,16.087460,0.087485,0.656594,2.546468,-0.350596,1.557913
0.010000,3.060351,16.094279,0.094305,0.682022,2.542800,-0.366802,1.556885
0.010000,3.060453,16.101353,0.101379,0.707412,2.538960,-0.383977,1.555814
0.010000,3.060567,16.108679,0.108707,0.732761,2.534951,-0.400954,1.554700
0.010000,3.060693,16.116259,0.116288,0.758069,2.530767,-0.418398,1.553544
0.010000,3.060833,16.124091,0.124121,0.783333,2.526405,-0.436140,1.552344
0.010000,3.060987,16.132175,0.132207,0.808551,2.521864,-0.454164,1.551101
0.010000,3.061157,16.140511,0.140544,0.833723,2.517135,-0.472819,1.549814
0.010000,3.061343,16.149097,0.149132,0.858845,2.512220,-0.491533,1.548482
0.010000,3.061546,16.157934,0.157971,0.883916,2.507115,-0.510557,1.547105
0.010000,3.061768,16.167020,0.167061,0.908934,2.501811,-0.530391,1.545682
0.010000,3.062009,16.176356,0.176400,0.933897,2.496307,-0.550369,1.544213
0.010000,3.062271,16.185941,0.185988,0.958803,2.490601,-0.570577,1.542698
0.010000,3.062555,16.195773,0.195824,0.983650,2.484684,-0.591714,1.541135
0.010000,3.062862,16.205853,0.205909,1.008436,2.478554,-0.612997,1.539524
0.010000,3.063194,16.216179,0.216240,1.033158,2.472206,-0.634765,1.537865
0.010000,3.063551,16.226751,0.226818,1.057814,2.465635,-0.657096,1.536157
0.010000,3.063936,16.237568,0.237642,1.082403,2.458836,-0.679954,1.534400
0.010000,3.064348,16.248630,0.248712,1.106921,2.451802,-0.703360,1.532592
0.010000,3.064791,16.259935,0.260025,1.131366,2.444529,-0.727335,1.530733
0.010000,3.065265,16.271483,0.271583,1.155736,2.437014,-0.751516,1.528822
0.010000,3.065772,16.283272,0.283383,1.180028,2.429243,-0.777087,1.526859
0.010000,3.066313,16.295302,0.295425,1.204241,2.421218,-0.802472,1.524843
0.010000,3.066890,16.307572,0.307709,1.228370,2.412929,-0.828899,1.522772
0.010000,3.067504,16.320081,0.320233,1.252414,2.404371,-0.855864,1.520647
0.010000,3.068158,16.332828,0.332997,1.276369,2.395535,-0.883549,1.518467
0.010000,3.068852,16.345812,0.345999,1.300233,2.386417,-0.911780,1.516229
0.010000,3.069590,16.359032,0.359239,1.324003,2.377007,-0.941039,1.513935
0.010000,3.070371,16.372486,0.372716,1.347676,2.367300,-0.970708,1.511582
0.010000,3.071199,16.386173,0.386428,1.371249,2.357286,-1.001345,1.509170
0.010000,3.072076,16.400093,0.400376,1.394719,2.346961,-1.032494,1.506697
0.010000,3.073002,16.414243,0.414556,1.418082,2.336313,-1.064877,1.504164
0.010000,3.073980,16.428623,0.428970,1.441335,2.325336,-1.097639,1.501568
0.010000,3.075013,16.443232,0.443615,1.464475,2.314021,-1.131487,1.498909
0.010000,3.076101,16.458067,0.458490,1.487499,2.302359,-1.166207,1.496185
0.010000,3.077248,16.473127,0.473594,1.510402,2.290344,-1.201528,1.493396
0.010000,3.078455,16.488411,0.488925,1.533182,2.277961,-1.238261,1.490540
0.010000,3.079725,16.503918,0.504484,1.555834,2.265208,-1.275351,1.487616
0.010000,3.081060,16.519645,0.520267,1.578355,2.252069,-1.313859,1.484623
0.010000,3.082462,16.535591,0.536275,1.600740,2.238540,-1.352947,1.481560
0.010000,3.083934,16.551754,0.552505,1.622986,2.224606,-1.393348,1.478425
0.010000,3.085478,16.568132,0.568955,1.645089,2.210263,-1.434368,1.475216
0.010000,3.087096,16.584724,0.585626,1.667044,2.195494,-1.476829,1.471933
0.010000,3.088791,16.601527,0.602514,1.688847,2.180295,-1.519935,1.468575
0.010000,3.090565,16.618540,0.619619,1.710493,2.164652,-1.564273,1.465139
0.010000,3.092422,16.635760,0.636939,1.731979,2.148556,-1.609619,1.461623
0.010000,3.094364,16.653185,0.654472,1.753299,2.131997,-1.655893,1.458028
0.010000,3.096393,16.670813,0.672217,1.774448,2.114963,-1.703396,1.454350
0.010000,3.098512,16.688641,0.690171,1.795423,2.097444,-1.751943,1.450589
0.010000,3.100725,16.706668,0.708333,1.816217,2.079430,-1.801355,1.446742
0.010000,3.103034,16.724891,0.726701,1.836826,2.060912,-1.851847,1.442807
0.010000,3.105441,16.743307,0.745274,1.857245,2.041876,-1.903632,1.438784
0.010000,3.107951,16.761913,0.764048,1.877468,2.022315,-1.956063,1.434670
0.010000,3.110565,16.780707,0.783023,1.897490,2.002217,-2.009760,1.430463
0.010000,3.113288,16.799686,0.802196,1.917306,1.981575,-2.064275,1.426162
0.010000,3.116121,16.818846,0.821565,1.936910,1.960377,-2.119716,1.421764
0.010000,3.119070,16.838186,0.841128,1.956296,1.938616,-2.176130,1.417267
0.010000,3.122135,16.857701,0.860883,1.975459,1.916285,-2.233098,1.412669
0.010000,3.125322,16.877389,0.880827,1.994393,1.893372,-2.291269,1.407968
0.010000,3.128633,16.897246,0.900958,2.013091,1.869875,-2.349788,1.403162
0.010000,3.132072,16.917268,0.921273,2.031549,1.845786,-2.408875,1.398249
0.010000,3.135642,16.937452,0.941771,2.049760,1.821098,-2.468827,1.393225
0.010000,3.139346,16.957795,0.962448,2.067718,1.795810,-2.528756,1.388090
0.010000,3.143189,16.978292,0.983302,2.085417,1.769919,-2.589086,1.382840
0.010000,3.147174,16.998939,1.004331,2.102852,1.743422,-2.649665,1.377472
0.010000,3.151303,17.019733,1.025531,2.120015,1.716323,-2.709938,1.371985
0.010000,3.155583,17.040670,1.046900,2.136901,1.688622,-2.770154,1.366375
0.010000,3.160014,17.061744,1.068435,2.153504,1.660323,-2.829872,1.360641
0.010000,3.164603,17.082951,1.090133,2.169819,1.631434,-2.888874,1.354779
0.010000,3.169352,17.104287,1.111992,2.185838,1.601965,-2.946916,1.348786
0.010000,3.174265,17.125748,1.134007,2.201558,1.571928,-3.003692,1.342660
0.010000,3.179347,17.147327,1.156177,2.216971,1.541337,-3.059051,1.336397
0.010000,3.184600,17.169021,1.178498,2.232073,1.510214,-3.112338,1.329996
0.010000,3.190030,17.190824,1.200966,2.246859,1.478580,-3.163457,1.323452
0.010000,3.195639,17.212730,1.223579,2.261324,1.446462,-3.211784,1.316763
0.010000,3.201433,17.234735,1.246334,2.275463,1.413893,-3.256891,1.309926
0.010000,3.207414,17.256832,1.269227,2.289272,1.380909,-3.298410,1.302938
0.010000,3.213588,17.279017,1.292254,2.302747,1.347554,-3.335465,1.295795
0.010000,3.219958,17.301282,1.315413,2.315886,1.313875,-3.367902,1.288494
0.010000,3.226528,17.323623,1.338700,2.328685,1.279927,-3.394826,1.281032
0.010000,3.233302,17.346033,1.362111,2.341143,1.245774,-3.415310,1.273406
0.010000,3.240285,17.368506,1.385644,2.353258,1.211483,-3.429051,1.265613
0.010000,3.247481,17.391035,1.409294,2.365029,1.177134,-3.434905,1.257649
0.010000,3.254893,17.413614,1.433059,2.376457,1.142813,-3.432122,1.249512
0.010000,3.262527,17.436236,1.456934,2.387543,1.108614,-3.419854,1.241197
0.010000,3.270385,17.458895,1.480917,2.398290,1.074644,-3.396996,1.232702
0.010000,3.278473,17.481583,1.505004,2.408700,1.041020,-3.362482,1.224024
0.010000,3.286794,17.504295,1.529192,2.418779,1.007866,-3.315309,1.215159
0.010000,3.295352,17.527022,1.553477,2.428532,0.975321,-3.254503,1.206104
0.010000,3.304153,17.549758,1.577857,2.437967,0.943538,-3.178311,1.196857
0.010000,3.313199,17.572496,1.602328,2.447094,0.912675,-3.086339,1.187414
0.010000,3.322495,17.595228,1.626887,2.455923,0.882910,-2.976517,1.177773
0.010000,3.332045,17.617947,1.651532,2.464467,0.854429,-2.848028,1.167931
0.010000,3.341853,17.640646,1.676259,2.472742,0.827435,-2.699463,1.157885
0.010000,3.351924,17.663317,1.701067,2.480763,0.802140,-2.529452,1.147633
0.010000,3.362261,17.685954,1.725952,2.488551,0.778773,-2.336754,1.137173
0.010000,3.372869,17.708549,1.750914,2.496127,0.757572,-2.120073,1.126502
0.010000,3.383753,17.731095,1.775949,2.503514,0.738790,-1.878234,1.115620
0.010000,3.394915,17.753584,1.801056,2.510741,0.722688,-1.610188,1.104525
0.010000,3.406361,17.776011,1.826234,2.517837,0.709543,-1.314506,1.093214
0.010000,3.418094,17.798367,1.851483,2.524833,0.699634,-0.990845,1.081688
0.010000,3.430120,17.820646,1.876800,2.531766,0.693254,-0.638050,1.069946
0.010000,3.442443,17.842842,1.902187,2.538673,0.690698,-0.255626,1.057987
0.010000,3.455067,17.864947,1.927643,2.545595,0.692264,0.156639,1.045811
0.010000,3.467996,17.886956,1.953169,2.552578,0.698254,0.598985,1.033420
0.010000,3.481237,17.908862,1.978766,2.559667,0.708964,1.071064,1.020815
0.010000,3.494793,17.930660,2.004435,2.566914,0.724689,1.572410,1.007996
0.010000,3.508660,17.952327,2.030159,2.572433,0.551863,-17.282558,0.994975
0.010000,3.522820,17.973826,2.055903,2.574383,0.195048,-35.681528,0.981776
0.010000,3.537255,17.995124,2.081632,2.572887,-0.149651,-34.469862,0.968421
0.010000,3.551948,18.016186,2.107312,2.568058,-0.482925,-33.327435,0.954937
0.010000,3.566878,18.036982,2.132912,2.560001,-0.805643,-32.271817,0.941348
0.010000,3.582034,18.057498,2.158420,2.550713,-0.928821,-12.317703,0.927672
0.010000,3.597419,18.077735,2.183841,2.542146,-0.856694,7.212627,0.913915
0.010000,3.613033,18.097697,2.209184,2.534330,-0.781625,7.506973,0.900084
0.010000,3.628878,18.117386,2.234457,2.527292,-0.703818,7.780622,0.886187
0.010000,3.644956,18.136804,2.259668,2.521057,-0.623507,8.031119,0.872231
0.010000,3.661269,18.155955,2.284824,2.515647,-0.540944,8.256330,0.858224
0.010000,3.677819,18.174840,2.309935,2.511083,-0.456401,8.454243,0.844174
0.010000,3.694609,18.193463,2.335009,2.507381,-0.370171,8.623050,0.830089
0.010000,3.711639,18.211827,2.360054,2.504556,-0.282559,8.761209,0.815977
0.010000,3.728915,18.229934,2.385081,2.502617,-0.193885,8.867398,0.801847
0.010000,3.746437,18.247788,2.410096,2.501572,-0.104478,8.940659,0.787707
0.010000,3.764209,18.265391,2.435111,2.501425,-0.014676,8.980255,0.773566
0.010000,3.782233,18.282747,2.460132,2.502177,0.075183,8.985824,0.759432
0.010000,3.800513,18.299857,2.485171,2.503825,0.164756,8.957311,0.745313
0.010000,3.819051,18.316725,2.510234,2.506362,0.253706,8.894987,0.731218
0.010000,3.837850,18.333353,2.535332,2.509779,0.341700,8.799449,0.717156
0.010000,3.856913,18.349743,2.560473,2.514063,0.428416,8.671601,0.703134
0.010000,3.876244,18.365898,2.585665,2.519199,0.513543,8.512645,0.689160
0.010000,3.895844,18.381819,2.610916,2.525166,0.596783,8.324041,0.675243
0.010000,3.915716,18.397508,2.636236,2.531945,0.677858,8.107536,0.661389
0.010000,3.935864,18.412968,2.661631,2.539510,0.756509,7.865070,0.647608
0.010000,3.956288,18.428198,2.687109,2.547835,0.832496,7.598742,0.633904
0.010000,3.976993,18.443202,2.712678,2.556891,0.905605,7.310847,0.620286
0.010000,3.997978,18.457979,2.738345,2.566647,0.975643,7.003856,0.606760
0.010000,4.019247,18.472531,2.764115,2.577072,1.042444,6.680108,0.593333
0.010000,4.040801,18.486858,2.789997,2.588131,1.105867,6.342291,0.580010
0.010000,4.062641,18.500962,2.815994,2.599789,1.165796,5.992877,0.566797
0.010000,4.084768,18.514842,2.842115,2.612010,1.222140,5.634380,0.553699
0.010000,4.107184,18.528498,2.868362,2.624758,1.274833,5.269291,0.540722
0.010000,4.129887,18.541931,2.894742,2.637997,1.323833,4.900030,0.527869
0.010000,4.152879,18.555141,2.921259,2.651688,1.369122,4.528923,0.515146
0.010000,4.176160,18.568128,2.947917,2.665795,1.410704,4.158121,0.502555
0.010000,4.199729,18.580891,2.974720,2.680281,1.448599,3.789586,0.490102
0.010000,4.223585,18.593430,3.001671,2.695109,1.482854,3.425410,0.477788
0.010000,4.247728,18.605745,3.028773,2.710245,1.513525,3.067114,0.465617
0.010000,4.272157,18.617836,3.056030,2.725652,1.540689,2.716425,0.453592
0.010000,4.296869,18.629701,3.083443,2.741296,1.564435,2.374604,0.441714
0.010000,4.321863,18.641341,3.111014,2.757145,1.584865,2.043009,0.429986
0.010000,4.347137,18.652754,3.138746,2.773165,1.602090,1.722534,0.418409
0.010000,4.372688,18.663941,3.166639,2.789328,1.616232,1.414144,0.406984
0.010000,4.398515,18.674901,3.194695,2.805602,1.627418,1.118614,0.395713
0.010000,4.424614,18.685634,3.222915,2.821960,1.635782,0.836395,0.384597
0.010000,4.450983,18.696138,3.251299,2.838374,1.641461,0.567876,0.373635
0.010000,4.477617,18.706414,3.279847,2.854820,1.644597,0.313675,0.362829
0.010000,4.504515,18.716461,3.308559,2.871274,1.645331,0.073353,0.352177
0.010000,4.531672,18.726279,3.337437,2.887712,1.643807,-0.152360,0.341681
0.010000,4.559084,18.735868,3.366478,2.904113,1.640167,-0.364028,0.331340
0.010000,4.586748,18.745227,3.395682,2.920459,1.634551,-0.561580,0.321153
0.010000,4.614660,18.754357,3.425050,2.936730,1.627099,-0.745222,0.311119
0.010000,4.642816,18.763257,3.454579,2.952909,1.617944,-0.915482,0.301238
0.010000,4.671212,18.771927,3.484268,2.968982,1.607223,-1.072136,0.291509
0.010000,4.699843,18.780368,3.514118,2.984932,1.595059,-1.216409,0.281930
0.010000,4.728705,18.788580,3.544125,3.000748,1.581578,-1.348061,0.272501
0.010000,4.757793,18.796563,3.574289,3.016417,1.566900,-1.467835,0.263219
0.010000,4.787104,18.804318,3.604609,3.031928,1.551136,-1.576408,0.254084
0.010000,4.816633,18.811844,3.635081,3.047272,1.534398,-1.673783,0.245094
0.010000,4.846375,18.819143,3.665706,3.062440,1.516787,-1.761049,0.236246
0.010000,4.876325,18.826216,3.696480,3.077424,1.498402,-1.838528,0.227540
0.010000,4.906480,18.833061,3.727402,3.092218,1.479338,-1.906427,0.218974
0.010000,4.936835,18.839682,3.758470,3.106814,1.459678,-1.965985,0.210546
0.010000,4.967384,18.846078,3.789683,3.121209,1.439507,-2.017096,0.202253
0.010000,4.998125,18.852251,3.821037,3.135398,1.418902,-2.060488,0.194094
0.010000,5.029051,18.858201,3.852530,3.149378,1.397934,-2.096811,0.186067
0.010000,5.060160,18.863929,3.884162,3.163144,1.376671,-2.126347,0.178170
0.010000,5.091446,18.869437,3.915929,3.176696,1.355173,-2.149780,0.170401
0.010000,5.122904,18.874726,3.947829,3.190031,1.333501,-2.167178,0.162758
0.010000,5.154532,18.879797,3.979860,3.203148,1.311706,-2.179492,0.155238
0.010000,5.186324,18.884652,4.012021,3.216047,1.289837,-2.186921,0.147840
0.010000,5.218276,18.889291,4.044308,3.228726,1.267942,-2.189487,0.140562
0.010000,5.250384,18.893717,4.076720,3.241187,1.246060,-2.188221,0.133401
0.010000,5.282645,18.897930,4.109254,3.253429,1.224226,-2.183354,0.126356
0.010000,5.315053,18.901932,4.141909,3.265454,1.202483,-2.174323,0.119425
