dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,16.999987,23.559700,0.000025,0.004997,0.499681,49.968051,0.000012
0.010000,17.000047,23.559700,0.000085,0.006038,0.104113,-39.556800,6.283177
0.010000,17.000290,23.559700,0.000328,0.024282,1.824364,172.025181,6.283137
0.010000,17.000654,23.559700,0.000692,0.036422,1.214073,-61.029132,6.283076
0.010000,17.001140,23.559700,0.001178,0.048563,1.214065,-0.000794,6.282995
0.010000,17.001747,23.559700,0.001785,0.060704,1.214056,-0.000869,6.282894
0.010000,17.002475,23.559699,0.002514,0.072844,1.214043,-0.001322,6.282772
0.010000,17.003325,23.559699,0.003363,0.084984,1.214028,-0.001468,6.282630
0.010000,17.004296,23.559698,0.004335,0.097124,1.214011,-0.001698,6.282468
0.010000,17.005389,23.559698,0.005427,0.109264,1.213992,-0.001952,6.282286
0.010000,17.006603,23.559696,0.006641,0.121404,1.213968,-0.002372,6.282083
0.010000,17.007939,23.559695,0.007977,0.133543,1.213943,-0.002490,6.281861
0.010000,17.009395,23.559693,0.009434,0.145683,1.213916,-0.002732,6.281617
0.010000,17.010974,23.559690,0.011012,0.157821,1.213884,-0.003172,6.281354
0.010000,17.012673,23.559687,0.012711,0.169960,1.213851,-0.003325,6.281071
0.010000,17.014494,23.559682,0.014532,0.182098,1.213813,-0.003810,6.280767
0.010000,17.016437,23.559677,0.016475,0.194236,1.213774,-0.003919,6.280443
0.010000,17.018500,23.559671,0.018538,0.206373,1.213730,-0.004410,6.280098
0.010000,17.020685,23.559664,0.020724,0.218510,1.213684,-0.004602,6.279734
0.010000,17.022992,23.559656,0.023030,0.230646,1.213634,-0.004995,6.279349
0.010000,17.025420,23.559646,0.025458,0.242782,1.213580,-0.005401,6.278944
0.010000,17.027969,23.559635,0.028007,0.254917,1.213521,-0.005819,6.278519
0.010000,17.030639,23.559622,0.030677,0.267052,1.213462,-0.005975,6.278074
0.010000,17.033431,23.559607,0.033469,0.279186,1.213395,-0.006669,6.277608
0.010000,17.036344,23.559590,0.036383,0.291319,1.213326,-0.006874,6.277123
0.010000,17.039379,23.559571,0.039417,0.303452,1.213253,-0.007352,6.276617
0.010000,17.042534,23.559549,0.042573,0.315583,1.213174,-0.007846,6.276091
0.010000,17.045811,23.559525,0.045850,0.327714,1.213091,-0.008351,6.275544
0.010000,17.049210,23.559498,0.049248,0.339844,1.213005,-0.008553,6.274978
0.010000,17.052729,23.559468,0.052768,0.351973,1.212911,-0.009447,6.274391
0.010000,17.056370,23.559435,0.056409,0.364102,1.212814,-0.009720,6.273785
0.010000,17.060132,23.559398,0.060172,0.376229,1.212711,-0.010301,6.273158
0.010000,17.064016,23.559358,0.064055,0.388355,1.212602,-0.010909,6.272511
0.010000,17.068020,23.559314,0.068060,0.400480,1.212488,-0.011386,6.271844
0.010000,17.072146,23.559266,0.072186,0.412603,1.212366,-0.012131,6.271157
0.010000,17.076393,23.559213,0.076433,0.424726,1.212241,-0.012563,6.270449
0.010000,17.080761,23.559156,0.080802,0.436847,1.212107,-0.013420,6.269722
0.010000,17.085250,23.559094,0.085291,0.448966,1.211967,-0.013990,6.268975
0.010000,17.089861,23.559027,0.089902,0.461085,1.211821,-0.014587,6.268207
0.010000,17.094592,23.558954,0.094634,0.473201,1.211666,-0.015516,6.267420
0.010000,17.099445,23.558875,0.099487,0.485316,1.211505,-0.016068,6.266612
0.010000,17.104418,23.558791,0.104462,0.497430,1.211335,-0.016985,6.265785
0.010000,17.109513,23.558700,0.109557,0.509541,1.211158,-0.017687,6.264937
0.010000,17.114728,23.558603,0.114774,0.521651,1.210973,-0.018566,6.264070
0.010000,17.120065,23.558498,0.120111,0.533759,1.210779,-0.019389,6.263182
0.010000,17.125522,23.558387,0.125570,0.545864,1.210576,-0.020250,6.262275
0.010000,17.131101,23.558267,0.131149,0.557968,1.210364,-0.021219,6.261348
