dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,17.000013,21.440300,0.000025,0.004997,0.499681,49.968051,0.000012
0.010000,17.000031,21.440300,0.000042,0.001744,-0.325326,-82.500671,6.283177
0.010000,17.000187,21.440300,0.000199,0.015693,1.394932,172.025827,6.283137
0.010000,17.000423,21.440300,0.000435,0.023539,0.784650,-61.028258,6.283076
0.010000,17.000737,21.440300,0.000749,0.031386,0.784656,0.000686,6.282995
0.010000,17.001129,21.440300,0.001141,0.039233,0.784667,0.001043,6.282894
0.010000,17.001600,21.440300,0.001612,0.047079,0.784678,0.001159,6.282772
0.010000,17.002149,21.440299,0.002161,0.054926,0.784693,0.001481,6.282630
0.010000,17.002777,21.440299,0.002789,0.062773,0.784711,0.001753,6.282468
0.010000,17.003483,21.440298,0.003495,0.070621,0.784731,0.002019,6.282286
0.010000,17.004268,21.440298,0.004280,0.078468,0.784753,0.002186,6.282083
0.010000,17.005131,21.440297,0.005143,0.086316,0.784778,0.002558,6.281861
0.010000,17.006073,21.440295,0.006084,0.094164,0.784807,0.002862,6.281617
0.010000,17.007093,21.440294,0.007105,0.102012,0.784837,0.003049,6.281354
0.010000,17.008191,21.440291,0.008203,0.109861,0.784872,0.003436,6.281071
0.010000,17.009368,21.440289,0.009380,0.117710,0.784908,0.003623,6.280767
0.010000,17.010624,21.440285,0.010636,0.125560,0.784949,0.004068,6.280443
0.010000,17.011958,21.440282,0.011970,0.133410,0.784992,0.004283,6.280098
0.010000,17.013371,21.440277,0.013383,0.141260,0.785039,0.004710,6.279734
0.010000,17.014862,21.440271,0.014874,0.149111,0.785089,0.005025,6.279349
0.010000,17.016431,21.440265,0.016443,0.156962,0.785142,0.005353,6.278944
0.010000,17.018079,21.440258,0.018091,0.164814,0.785199,0.005693,6.278519
0.010000,17.019806,21.440249,0.019818,0.172667,0.785262,0.006226,6.278074
0.010000,17.021611,21.440240,0.021623,0.180520,0.785326,0.006434,6.277608
0.010000,17.023495,21.440229,0.023507,0.188374,0.785396,0.006983,6.277123
0.010000,17.025457,21.440216,0.025469,0.196229,0.785470,0.007381,6.276617
0.010000,17.027498,21.440202,0.027510,0.204084,0.785548,0.007796,6.276091
0.010000,17.029617,21.440187,0.029630,0.211941,0.785630,0.008231,6.275544
0.010000,17.031815,21.440169,0.031828,0.219798,0.785719,0.008892,6.274978
0.010000,17.034092,21.440150,0.034104,0.227656,0.785810,0.009135,6.274391
0.010000,17.036447,21.440129,0.036459,0.235515,0.785908,0.009811,6.273785
0.010000,17.038880,21.440105,0.038893,0.243375,0.786011,0.010321,6.273158
0.010000,17.041393,21.440079,0.041405,0.251236,0.786120,0.010847,6.272511
0.010000,17.043984,21.440050,0.043996,0.259099,0.786235,0.011492,6.271844
0.010000,17.046653,21.440019,0.046666,0.266962,0.786355,0.011999,6.271157
0.010000,17.049401,21.439985,0.049414,0.274827,0.786482,0.012746,6.270449
0.010000,17.052228,21.439948,0.052241,0.282693,0.786615,0.013256,6.269722
0.010000,17.055133,21.439908,0.055147,0.290561,0.786755,0.013990,6.268975
0.010000,17.058117,21.439864,0.058131,0.298430,0.786902,0.014748,6.268207
0.010000,17.061180,21.439817,0.061194,0.306300,0.787056,0.015331,6.267420
0.010000,17.064321,21.439767,0.064336,0.314173,0.787218,0.016202,6.266612
0.010000,17.067541,21.439712,0.067556,0.322046,0.787386,0.016879,6.265785
0.010000,17.070840,21.439653,0.070856,0.329922,0.787564,0.017740,6.264937
0.010000,17.074217,21.439590,0.074234,0.337800,0.787749,0.018532,6.264070
0.010000,17.077673,21.439522,0.077690,0.345679,0.787943,0.019407,6.263182
0.010000,17.081208,21.439450,0.081226,0.353560,0.788146,0.020305,6.262275
0.010000,17.084822,21.439373,0.084840,0.361444,0.788358,0.021181,6.261348
0.010000,17.088514,21.439290,0.088534,0.369330,0.788579,0.022123,6.260400
0.010000,17.092285,21.439203,0.092306,0.377218,0.788810,0.023116,6.259433
