dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.250002,22.999700,0.000025,0.004996,0.499588,49.958835,6.283183
0.010000,3.250000,22.999700,0.000027,0.000188,-0.480833,-98.042143,6.283185
0.010000,3.250183,22.999700,0.000210,0.018325,1.813779,229.461163,0.000003
0.010000,3.250478,22.999700,0.000504,0.029413,1.108734,-70.504488,0.000009
0.010000,3.250870,22.999700,0.000896,0.039217,0.980426,-12.830742,0.000016
0.010000,3.251360,22.999700,0.001387,0.049021,0.980429,0.000321,0.000025
0.010000,3.251948,22.999700,0.001975,0.058826,0.980434,0.000406,0.000035
0.010000,3.252635,22.999700,0.002661,0.068630,0.980438,0.000479,0.000048
0.010000,3.253419,22.999700,0.003446,0.078434,0.980444,0.000564,0.000062
0.010000,3.254301,22.999700,0.004328,0.088239,0.980450,0.000644,0.000078
0.010000,3.255282,22.999700,0.005308,0.098043,0.980458,0.000724,0.000095
0.010000,3.256360,22.999700,0.006387,0.107848,0.980466,0.000805,0.000115
0.010000,3.257537,22.999701,0.007563,0.117653,0.980475,0.000885,0.000136
0.010000,3.258811,22.999701,0.008838,0.127458,0.980484,0.000963,0.000159
0.010000,3.260184,22.999701,0.010211,0.137263,0.980495,0.001047,0.000184
0.010000,3.261655,22.999701,0.011681,0.147068,0.980506,0.001125,0.000210
0.010000,3.263223,22.999702,0.013250,0.156873,0.980518,0.001207,0.000238
0.010000,3.264890,22.999702,0.014917,0.166678,0.980531,0.001288,0.000268
0.010000,3.266655,22.999703,0.016682,0.176484,0.980544,0.001367,0.000300
0.010000,3.268518,22.999703,0.018544,0.186289,0.980559,0.001447,0.000334
0.010000,3.270479,22.999704,0.020505,0.196095,0.980574,0.001532,0.000369
0.010000,3.272538,22.999705,0.022564,0.205901,0.980590,0.001605,0.000406
0.010000,3.274695,22.999705,0.024721,0.215707,0.980607,0.001692,0.000445
0.010000,3.276950,22.999707,0.026977,0.225513,0.980625,0.001770,0.000486
0.010000,3.279303,22.999708,0.029330,0.235320,0.980643,0.001850,0.000528
0.010000,3.281754,22.999709,0.031781,0.245126,0.980663,0.001932,0.000572
0.010000,3.284304,22.999711,0.034330,0.254933,0.980683,0.002013,0.000618
0.010000,3.286951,22.999712,0.036978,0.264740,0.980704,0.002091,0.000665
0.010000,3.289697,22.999714,0.039723,0.274547,0.980726,0.002172,0.000714
0.010000,3.292540,22.999716,0.042567,0.284355,0.980748,0.002255,0.000766
0.010000,3.295482,22.999719,0.045508,0.294163,0.980771,0.002335,0.000818
0.010000,3.298522,22.999721,0.048548,0.303971,0.980796,0.002413,0.000873
0.010000,3.301659,22.999724,0.051686,0.313779,0.980821,0.002500,0.000929
0.010000,3.304895,22.999727,0.054922,0.323587,0.980846,0.002573,0.000987
0.010000,3.308229,22.999731,0.058256,0.333396,0.980873,0.002659,0.001047
0.010000,3.311661,22.999734,0.061688,0.343205,0.980900,0.002738,0.001108
0.010000,3.315191,22.999738,0.065218,0.353014,0.980928,0.002818,0.001171
0.010000,3.318820,22.999743,0.068846,0.362824,0.980957,0.002899,0.001236
0.010000,3.322546,22.999747,0.072573,0.372634,0.980987,0.002981,0.001303
0.010000,3.326370,22.999752,0.076397,0.382444,0.981018,0.003060,0.001371
0.010000,3.330293,22.999758,0.080320,0.392254,0.981049,0.003144,0.001441
0.010000,3.334314,22.999764,0.084340,0.402065,0.981081,0.003222,0.001512
0.010000,3.338432,22.999770,0.088459,0.411876,0.981115,0.003303,0.001586
0.010000,3.342649,22.999777,0.092676,0.421688,0.981148,0.003384,0.001661
0.010000,3.346964,22.999784,0.096991,0.431500,0.981183,0.003465,0.001738
0.010000,3.351377,22.999792,0.101404,0.441312,0.981218,0.003545,0.001816
0.010000,3.355889,22.999801,0.105915,0.451124,0.981255,0.003630,0.001896
0.010000,3.360498,22.999810,0.110525,0.460937,0.981292,0.003705,0.001978
0.010000,3.365205,22.999819,0.115232,0.470751,0.981330,0.003790,0.002062
0.010000,3.370011,22.999829,0.120038,0.480564,0.981368,0.003869,0.002147
0.010000,3.374915,22.999840,0.124941,0.490378,0.981408,0.003954,0.002234
0.010000,3.379917,22.999851,0.129943,0.500193,0.981448,0.004030,0.002323
0.010000,3.385017,22.999863,0.135044,0.510008,0.981489,0.004113,0.002413
0.010000,3.390215,22.999876,0.140242,0.519823,0.981531,0.004197,0.002505
0.010000,3.395511,22.999890,0.145538,0.529639,0.981574,0.004273,0.002598
0.010000,3.400906,22.999904,0.150933,0.539455,0.981618,0.004358,0.002694
0.010000,3.406399,22.999919,0.156425,0.549272,0.981662,0.004437,0.002790
0.010000,3.411989,22.999935,0.162016,0.559089,0.981707,0.004522,0.002889
0.010000,3.417678,22.999952,0.167705,0.568906,0.981753,0.004597,0.002989
0.010000,3.423466,22.999969,0.173493,0.578724,0.981800,0.004682,0.003091
0.010000,3.429351,22.999988,0.179378,0.588543,0.981848,0.004762,0.003194
0.010000,3.435335,23.000007,0.185362,0.598362,0.981896,0.004845,0.003300
0.010000,3.441416,23.000028,0.191443,0.608181,0.981945,0.004924,0.003406
0.010000,3.447596,23.000049,0.197623,0.618001,0.981995,0.005007,0.003515
0.010000,3.453875,23.000071,0.203902,0.627821,0.982046,0.005088,0.003625
0.010000,3.460251,23.000095,0.210278,0.637642,0.982098,0.005169,0.003736
0.010000,3.466726,23.000119,0.216753,0.647464,0.982151,0.005251,0.003849
0.010000,3.473298,23.000145,0.223326,0.657286,0.982204,0.005332,0.003964
0.010000,3.479969,23.000172,0.229997,0.667109,0.982258,0.005416,0.004080
0.010000,3.486739,23.000200,0.236766,0.676932,0.982313,0.005493,0.004198
0.010000,3.493606,23.000229,0.243634,0.686755,0.982369,0.005577,0.004318
0.010000,3.500572,23.000260,0.250599,0.696580,0.982425,0.005661,0.004439
0.010000,3.507636,23.000291,0.257663,0.706404,0.982483,0.005737,0.004562
