dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.249991,20.880300,0.000025,0.005000,0.500000,50.000000,6.283177
0.010000,3.250000,20.880300,0.000034,0.000861,-0.413865,-91.386468,6.283185
0.010000,3.250214,20.880300,0.000247,0.021385,2.052318,246.618298,0.000016
0.010000,3.250539,20.880300,0.000573,0.032584,1.119934,-93.238437,0.000040
0.010000,3.250974,20.880300,0.001008,0.043445,1.086108,-3.382597,0.000073
0.010000,3.251517,20.880300,0.001551,0.054306,1.086090,-0.001815,0.000114
0.010000,3.252169,20.880300,0.002202,0.065167,1.086067,-0.002289,0.000162
0.010000,3.252929,20.880300,0.002963,0.076027,1.086039,-0.002763,0.000219
0.010000,3.253798,20.880301,0.003832,0.086887,1.086008,-0.003145,0.000284
0.010000,3.254775,20.880301,0.004809,0.097747,1.085971,-0.003686,0.000357
0.010000,3.255861,20.880301,0.005895,0.108606,1.085930,-0.004107,0.000438
0.010000,3.257056,20.880302,0.007090,0.119465,1.085885,-0.004535,0.000528
0.010000,3.258359,20.880303,0.008393,0.130323,1.085834,-0.005069,0.000625
0.010000,3.259771,20.880304,0.009805,0.141181,1.085779,-0.005446,0.000731
0.010000,3.261291,20.880305,0.011325,0.152038,1.085720,-0.005960,0.000844
0.010000,3.262920,20.880306,0.012954,0.162895,1.085656,-0.006381,0.000966
0.010000,3.264658,20.880308,0.014692,0.173751,1.085587,-0.006896,0.001096
0.010000,3.266504,20.880310,0.016538,0.184606,1.085514,-0.007291,0.001234
0.010000,3.268458,20.880313,0.018492,0.195460,1.085436,-0.007804,0.001379
0.010000,3.270522,20.880316,0.020555,0.206314,1.085354,-0.008245,0.001533
0.010000,3.272693,20.880319,0.022727,0.217166,1.085267,-0.008699,0.001695
0.010000,3.274973,20.880323,0.025007,0.228018,1.085175,-0.009182,0.001865
0.010000,3.277362,20.880328,0.027396,0.238869,1.085079,-0.009626,0.002043
0.010000,3.279859,20.880333,0.029893,0.249719,1.084977,-0.010118,0.002230
0.010000,3.282465,20.880339,0.032499,0.260567,1.084872,-0.010564,0.002424
0.010000,3.285179,20.880346,0.035213,0.271415,1.084762,-0.011023,0.002626
0.010000,3.288002,20.880354,0.038036,0.282261,1.084646,-0.011525,0.002836
0.010000,3.290933,20.880363,0.040967,0.293107,1.084527,-0.011966,0.003054
0.010000,3.293972,20.880372,0.044006,0.303951,1.084402,-0.012441,0.003280
0.010000,3.297120,20.880383,0.047154,0.314793,1.084273,-0.012929,0.003514
0.010000,3.300376,20.880395,0.050410,0.325635,1.084139,-0.013355,0.003756
0.010000,3.303741,20.880408,0.053775,0.336475,1.084000,-0.013892,0.004006
0.010000,3.307214,20.880422,0.057248,0.347313,1.083857,-0.014324,0.004263
0.010000,3.310796,20.880438,0.060830,0.358150,1.083709,-0.014816,0.004529
0.010000,3.314486,20.880455,0.064520,0.368986,1.083556,-0.015281,0.004802
0.010000,3.318284,20.880474,0.068318,0.379820,1.083398,-0.015779,0.005084
0.010000,3.322190,20.880494,0.072224,0.390652,1.083236,-0.016225,0.005373
0.010000,3.326205,20.880516,0.076239,0.401483,1.083069,-0.016741,0.005670
0.010000,3.330328,20.880540,0.080362,0.412312,1.082897,-0.017199,0.005975
0.010000,3.334559,20.880566,0.084594,0.423139,1.082720,-0.017720,0.006288
0.010000,3.338899,20.880594,0.088933,0.433965,1.082538,-0.018150,0.006608
0.010000,3.343347,20.880625,0.093381,0.444788,1.082351,-0.018676,0.006937
0.010000,3.347903,20.880657,0.097937,0.455610,1.082160,-0.019140,0.007273
0.010000,3.352567,20.880692,0.102602,0.466429,1.081963,-0.019657,0.007616
0.010000,3.357339,20.880729,0.107374,0.477247,1.081762,-0.020126,0.007968
0.010000,3.362220,20.880769,0.112255,0.488063,1.081556,-0.020628,0.008327
0.010000,3.367208,20.880811,0.117244,0.498876,1.081345,-0.021113,0.008694
0.010000,3.372305,20.880856,0.122340,0.509687,1.081128,-0.021624,0.009069
0.010000,3.377510,20.880904,0.127545,0.520496,1.080908,-0.022090,0.009451
0.010000,3.382822,20.880956,0.132858,0.531303,1.080681,-0.022632,0.009840
0.010000,3.388243,20.881010,0.138280,0.542108,1.080450,-0.023096,0.010238
0.010000,3.393772,20.881068,0.143809,0.552910,1.080214,-0.023613,0.010643
0.010000,3.399409,20.881129,0.149446,0.563710,1.079973,-0.024132,0.011055
0.010000,3.405153,20.881194,0.155191,0.574507,1.079727,-0.024585,0.011475
0.010000,3.411006,20.881262,0.161044,0.585302,1.079475,-0.025158,0.011903
0.010000,3.416967,20.881334,0.167005,0.596094,1.079219,-0.025629,0.012338
0.010000,3.423035,20.881411,0.173074,0.606883,1.078958,-0.026154,0.012780
0.010000,3.429211,20.881491,0.179250,0.617670,1.078691,-0.026626,0.013230
0.010000,3.435495,20.881576,0.185535,0.628454,1.078419,-0.027208,0.013687
0.010000,3.441887,20.881665,0.191927,0.639236,1.078142,-0.027674,0.014152
0.010000,3.448386,20.881758,0.198427,0.650014,1.077860,-0.028205,0.014624
0.010000,3.454993,20.881856,0.205035,0.660790,1.077573,-0.028737,0.015103
0.010000,3.461708,20.881959,0.211751,0.671563,1.077281,-0.029212,0.015590
0.010000,3.468531,20.882067,0.218574,0.682333,1.076983,-0.029797,0.016083
0.010000,3.475461,20.882181,0.225505,0.693100,1.076680,-0.030284,0.016585
0.010000,3.482498,20.882299,0.232544,0.703863,1.076372,-0.030823,0.017093
0.010000,3.489644,20.882423,0.239690,0.714624,1.076059,-0.031326,0.017608
0.010000,3.496896,20.882553,0.246944,0.725381,1.075740,-0.031900,0.018131
0.010000,3.504256,20.882688,0.254305,0.736135,1.075416,-0.032391,0.018661
0.010000,3.511724,20.882829,0.261774,0.746886,1.075086,-0.032938,0.019197
0.010000,3.519299,20.882977,0.269350,0.757634,1.074751,-0.033485,0.019741
0.010000,3.526981,20.883131,0.277034,0.768378,1.074411,-0.034007,0.020292
0.010000,3.534771,20.883291,0.284825,0.779119,1.074066,-0.034554,0.020850
0.010000,3.542667,20.883458,0.292724,0.789856,1.073715,-0.035081,0.021415
0.010000,3.550671,20.883632,0.300730,0.800589,1.073359,-0.035635,0.021987
0.010000,3.558783,20.883812,0.308843,0.811319,1.072997,-0.036191,0.022565
0.010000,3.567001,20.884000,0.317063,0.822046,1.072630,-0.036694,0.023151
0.010000,3.575326,20.884195,0.325391,0.832768,1.072257,-0.037291,0.023743
0.010000,3.583759,20.884398,0.333826,0.843487,1.071879,-0.037813,0.024342
0.010000,3.592298,20.884609,0.342368,0.854202,1.071495,-0.038370,0.024948
0.010000,3.600945,20.884827,0.351017,0.864913,1.071106,-0.038904,0.025561
0.010000,3.609698,20.885054,0.359773,0.875620,1.070711,-0.039492,0.026180
0.010000,3.618558,20.885288,0.368637,0.886323,1.070311,-0.040024,0.026806
0.010000,3.627525,20.885532,0.377607,0.897022,1.069905,-0.040587,0.027438
0.010000,3.636599,20.885784,0.386684,0.907717,1.069494,-0.041148,0.028077
