dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000004,22.999700,0.000030,0.005970,0.597015,59.701493,6.283181
0.010000,0.000027,22.999700,0.000053,0.002282,-0.368864,-96.587876,0.000001
0.010000,0.000283,22.999700,0.000309,0.025628,2.334618,270.348203,0.000013
0.010000,0.000739,22.999700,0.000765,0.045560,1.993278,-34.134060,0.000034
0.010000,0.001451,22.999700,0.001476,0.071189,2.562809,56.953115,0.000066
0.010000,0.002447,22.999700,0.002473,0.099665,2.847609,28.479982,0.000112
0.010000,0.003729,22.999700,0.003754,0.128141,2.847675,0.006640,0.000170
0.010000,0.005295,22.999701,0.005321,0.156619,2.847760,0.008524,0.000241
0.010000,0.007146,22.999701,0.007172,0.185098,2.847865,0.010437,0.000326
0.010000,0.009282,22.999702,0.009307,0.213578,2.847988,0.012333,0.000423
0.010000,0.011702,22.999703,0.011728,0.242059,2.848130,0.014218,0.000533
0.010000,0.014408,22.999705,0.014433,0.270542,2.848291,0.016133,0.000656
0.010000,0.017398,22.999707,0.017424,0.299026,2.848472,0.018045,0.000792
0.010000,0.020673,22.999710,0.020699,0.327513,2.848671,0.019935,0.000941
0.010000,0.024233,22.999713,0.024259,0.356002,2.848890,0.021849,0.001102
0.010000,0.028078,22.999718,0.028104,0.384493,2.849127,0.023772,0.001277
0.010000,0.032208,22.999724,0.032234,0.412987,2.849384,0.025659,0.001464
0.010000,0.036623,22.999731,0.036649,0.441484,2.849660,0.027603,0.001664
0.010000,0.041323,22.999739,0.041348,0.469983,2.849955,0.029499,0.001877
0.010000,0.046308,22.999749,0.046333,0.498486,2.850269,0.031443,0.002103
0.010000,0.051577,22.999760,0.051603,0.526992,2.850603,0.033345,0.002341
0.010000,0.057132,22.999774,0.057158,0.555502,2.850956,0.035302,0.002592
0.010000,0.062973,22.999790,0.062998,0.584015,2.851328,0.037210,0.002855
0.010000,0.069098,22.999808,0.069124,0.612532,2.851720,0.039158,0.003131
0.010000,0.075508,22.999829,0.075534,0.641053,2.852131,0.041105,0.003420
0.010000,0.082204,22.999853,0.082230,0.669579,2.852561,0.043036,0.003721
0.010000,0.089185,22.999880,0.089211,0.698109,2.853011,0.044992,0.004035
0.010000,0.096451,22.999911,0.096477,0.726644,2.853481,0.046959,0.004361
0.010000,0.104003,22.999945,0.104029,0.755184,2.853970,0.048905,0.004699
0.010000,0.111840,22.999983,0.111867,0.783728,2.854478,0.050864,0.005050
0.010000,0.119963,23.000026,0.119989,0.812278,2.855007,0.052847,0.005413
0.010000,0.128371,23.000073,0.128398,0.840834,2.855555,0.054812,0.005788
0.010000,0.137065,23.000125,0.137092,0.869395,2.856123,0.056792,0.006176
0.010000,0.146045,23.000182,0.146071,0.897962,2.856711,0.058786,0.006575
0.010000,0.155310,23.000245,0.155337,0.926536,2.857318,0.060760,0.006987
0.010000,0.164861,23.000314,0.164888,0.955115,2.857946,0.062777,0.007410
0.010000,0.174697,23.000389,0.174725,0.983701,2.858594,0.064756,0.007846
0.010000,0.184820,23.000470,0.184848,1.012294,2.859261,0.066784,0.008293
0.010000,0.195228,23.000559,0.195257,1.040893,2.859949,0.068781,0.008752
0.010000,0.205923,23.000655,0.205952,1.069500,2.860657,0.070811,0.009223
0.010000,0.216904,23.000759,0.216933,1.098113,2.861386,0.072834,0.009706
0.010000,0.228170,23.000871,0.228200,1.126735,2.862134,0.074858,0.010200
0.010000,0.239723,23.000992,0.239754,1.155364,2.862903,0.076912,0.010706
0.010000,0.251563,23.001122,0.251594,1.184001,2.863693,0.078946,0.011223
0.010000,0.263688,23.001261,0.263720,1.212646,2.864503,0.080986,0.011752
0.010000,0.276101,23.001410,0.276133,1.241299,2.865333,0.083053,0.012291
0.010000,0.288799,23.001570,0.288833,1.269961,2.866184,0.085124,0.012842
0.010000,0.301784,23.001740,0.301819,1.298632,2.867056,0.087185,0.013405
0.010000,0.315056,23.001922,0.315092,1.327311,2.867949,0.089248,0.013978
0.010000,0.328615,23.002116,0.328652,1.356000,2.868862,0.091347,0.014562
0.010000,0.342460,23.002321,0.342499,1.384698,2.869797,0.093429,0.015157
0.010000,0.356593,23.002540,0.356633,1.413405,2.870752,0.095518,0.015763
0.010000,0.371012,23.002772,0.371055,1.442122,2.871728,0.097632,0.016380
0.010000,0.385718,23.003017,0.385763,1.470850,2.872725,0.099718,0.017007
0.010000,0.400712,23.003277,0.400759,1.499587,2.873744,0.101856,0.017645
0.010000,0.415993,23.003552,0.416042,1.528335,2.874783,0.103947,0.018293
0.010000,0.431561,23.003842,0.431613,1.557093,2.875844,0.106101,0.018951
0.010000,0.447417,23.004147,0.447472,1.585863,2.876926,0.108204,0.019620
0.010000,0.463560,23.004470,0.463618,1.614643,2.878030,0.110366,0.020299
0.010000,0.479991,23.004809,0.480053,1.643434,2.879155,0.112487,0.020987
0.010000,0.496709,23.005166,0.496775,1.672237,2.880301,0.114651,0.021686
0.010000,0.513716,23.005541,0.513785,1.701052,2.881469,0.116797,0.022394
0.010000,0.531010,23.005934,0.531084,1.729879,2.882659,0.118956,0.023112
0.010000,0.548593,23.006347,0.548671,1.758717,2.883870,0.121132,0.023840
0.010000,0.566463,23.006780,0.566547,1.787569,2.885103,0.123291,0.024577
0.010000,0.584622,23.007233,0.584711,1.816432,2.886358,0.125468,0.025323
0.010000,0.603069,23.007707,0.603165,1.845308,2.887634,0.127652,0.026079
0.010000,0.621804,23.008203,0.621906,1.874198,2.888933,0.129835,0.026843
0.010000,0.640828,23.008721,0.640937,1.903100,2.890253,0.132026,0.027617
0.010000,0.660141,23.009262,0.660258,1.932016,2.891595,0.134220,0.028399
0.010000,0.679742,23.009827,0.679867,1.960946,2.892959,0.136416,0.029190
0.010000,0.699632,23.010415,0.699766,1.989889,2.894346,0.138624,0.029990
0.010000,0.719811,23.011029,0.719954,2.018847,2.895754,0.140832,0.030798
0.010000,0.740279,23.011668,0.740433,2.047819,2.897184,0.143031,0.031615
0.010000,0.761037,23.012333,0.761201,2.076805,2.898637,0.145256,0.032439
0.010000,0.782084,23.013025,0.782259,2.105806,2.900111,0.147471,0.033272
0.010000,0.803420,23.013744,0.803607,2.134822,2.901608,0.149687,0.034112
0.010000,0.825045,23.014491,0.825246,2.163854,2.903127,0.151920,0.034960
0.010000,0.846961,23.015267,0.847175,2.192900,2.904669,0.154132,0.035816
0.010000,0.869166,23.016072,0.869394,2.221963,2.906233,0.156378,0.036679
0.010000,0.891660,23.016907,0.891905,2.251041,2.907818,0.158590,0.037549
0.010000,0.914445,23.017773,0.914706,2.280135,2.909427,0.160839,0.038427
0.010000,0.937520,23.018671,0.937798,2.309246,2.911057,0.163058,0.039312
0.010000,0.960886,23.019600,0.961182,2.338373,2.912711,0.165309,0.040203
0.010000,0.984541,23.020562,0.984857,2.367517,2.914386,0.167530,0.041101
0.010000,1.008487,23.021558,1.008824,2.396677,2.916084,0.169783,0.042006
0.010000,1.032724,23.022588,1.033083,2.425855,2.917804,0.172008,0.042917
0.010000,1.057251,23.023652,1.057633,2.455051,2.919546,0.174257,0.043834
0.010000,1.082070,23.024752,1.082476,2.484264,2.921311,0.176489,0.044757
0.010000,1.107179,23.025889,1.107611,2.513495,2.923099,0.178729,0.045686
0.010000,1.132579,23.027062,1.133038,2.542744,2.924908,0.180971,0.046621
0.010000,1.158271,23.028273,1.158758,2.572011,2.926740,0.183202,0.047561
0.010000,1.184254,23.029522,1.184771,2.601297,2.928595,0.185443,0.048506
0.010000,1.210528,23.030810,1.211077,2.630602,2.930471,0.187678,0.049457
0.010000,1.237094,23.032137,1.237676,2.659926,2.932370,0.189905,0.050413
0.010000,1.263952,23.033505,1.264569,2.689269,2.934292,0.192141,0.051373
0.010000,1.291102,23.034914,1.291755,2.718631,2.936236,0.194373,0.052338
0.010000,1.318544,23.036365,1.319236,2.748013,2.938202,0.196596,0.053307
0.010000,1.346278,23.037859,1.347010,2.777415,2.940190,0.198817,0.054281
0.010000,1.374304,23.039395,1.375078,2.806837,2.942200,0.201041,0.055259
0.010000,1.402623,23.040976,1.403441,2.836279,2.944233,0.203263,0.056241
0.010000,1.431234,23.042601,1.432098,2.865742,2.946288,0.205472,0.057226
0.010000,1.460138,23.044271,1.461051,2.895226,2.948364,0.207681,0.058214
0.010000,1.489335,23.045987,1.490298,2.924730,2.950463,0.209891,0.059206
0.010000,1.518825,23.047750,1.519840,2.954256,2.952584,0.212091,0.060202
0.010000,1.548608,23.049560,1.549679,2.983804,2.954727,0.214287,0.061199
0.010000,1.578685,23.051418,1.579812,3.013372,2.956892,0.216484,0.062200
0.010000,1.609054,23.053325,1.610242,3.042963,2.959079,0.218665,0.063203
0.010000,1.639718,23.055281,1.640968,3.072576,2.961287,0.220850,0.064208
0.010000,1.670675,23.057287,1.671990,3.102211,2.963517,0.223027,0.065216
0.010000,1.701926,23.059344,1.703308,3.131869,2.965769,0.225193,0.066225
0.010000,1.733471,23.061452,1.734924,3.161549,2.968043,0.227363,0.067235
0.010000,1.765311,23.063612,1.766836,3.191253,2.970338,0.229515,0.068248
0.010000,1.797444,23.065825,1.799046,3.220979,2.972655,0.231672,0.069261
0.010000,1.829872,23.068091,1.831554,3.250729,2.974993,0.233811,0.070275
0.010000,1.862595,23.070411,1.864359,3.280503,2.977352,0.235955,0.071290
0.010000,1.895613,23.072786,1.897462,3.310300,2.979733,0.238081,0.072306
0.010000,1.928926,23.075216,1.930863,3.340122,2.982135,0.240208,0.073321
0.010000,1.962534,23.077702,1.964562,3.369967,2.984559,0.242323,0.074337
0.010000,1.996437,23.080244,1.998561,3.399837,2.987003,0.244431,0.075353
0.010000,2.030635,23.082843,2.032858,3.429732,2.989468,0.246534,0.076368
0.010000,2.065130,23.085500,2.067455,3.459651,2.991954,0.248626,0.077382
