dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000012,20.880300,0.000030,0.005970,0.597015,59.701493,6.283174
0.010000,0.000080,20.880300,0.000122,0.009202,0.323139,-27.387558,0.000014
0.010000,0.000408,20.880300,0.000449,0.032747,2.354529,203.138926,0.000069
0.010000,0.000990,20.880300,0.001032,0.058217,2.547002,19.247380,0.000168
0.010000,0.001900,20.880300,0.001941,0.090964,3.274761,72.775881,0.000322
0.010000,0.003173,20.880301,0.003215,0.127352,3.638710,36.394844,0.000538
0.010000,0.004810,20.880302,0.004852,0.163740,3.638841,0.013117,0.000815
0.010000,0.006812,20.880304,0.006853,0.200130,3.639006,0.016568,0.001155
0.010000,0.009177,20.880307,0.009219,0.236522,3.639211,0.020475,0.001556
0.010000,0.011906,20.880312,0.011948,0.272917,3.639446,0.023477,0.002018
0.010000,0.014999,20.880319,0.015041,0.309314,3.639718,0.027199,0.002543
0.010000,0.018456,20.880329,0.018498,0.345714,3.640020,0.030205,0.003129
0.010000,0.022278,20.880342,0.022319,0.382118,3.640354,0.033415,0.003777
0.010000,0.026463,20.880359,0.026504,0.418525,3.640717,0.036254,0.004487
0.010000,0.031012,20.880382,0.031054,0.454936,3.641107,0.039029,0.005259
0.010000,0.035926,20.880409,0.035967,0.491351,3.641522,0.041489,0.006093
0.010000,0.041203,20.880444,0.041245,0.527771,3.641962,0.043990,0.006989
0.010000,0.046845,20.880486,0.046887,0.564195,3.642422,0.046020,0.007947
0.010000,0.052851,20.880537,0.052893,0.600624,3.642898,0.047569,0.008967
0.010000,0.059221,20.880597,0.059264,0.637058,3.643394,0.049590,0.010049
0.010000,0.065956,20.880669,0.065999,0.673497,3.643899,0.050559,0.011193
0.010000,0.073055,20.880753,0.073098,0.709941,3.644415,0.051543,0.012400
0.010000,0.080518,20.880850,0.080562,0.746390,3.644937,0.052247,0.013668
0.010000,0.088346,20.880962,0.088391,0.782845,3.645462,0.052486,0.015000
0.010000,0.096538,20.881091,0.096584,0.819305,3.645986,0.052429,0.016393
0.010000,0.105094,20.881237,0.105141,0.855770,3.646506,0.051991,0.017849
0.010000,0.114015,20.881403,0.114064,0.892240,3.647015,0.050835,0.019367
0.010000,0.123300,20.881591,0.123351,0.928715,3.647513,0.049869,0.020948
0.010000,0.132950,20.881801,0.133003,0.965195,3.647991,0.047776,0.022591
0.010000,0.142964,20.882035,0.143020,1.001679,3.648448,0.045742,0.024297
0.010000,0.153342,20.882297,0.153401,1.038168,3.648876,0.042745,0.026066
0.010000,0.164085,20.882587,0.164148,1.074661,3.649272,0.039598,0.027897
0.010000,0.175192,20.882907,0.175259,1.111157,3.649629,0.035750,0.029791
0.010000,0.186663,20.883260,0.186736,1.147657,3.649943,0.031350,0.031748
0.010000,0.198498,20.883648,0.198578,1.184159,3.650206,0.026362,0.033768
0.010000,0.210698,20.884073,0.210784,1.220663,3.650414,0.020798,0.035850
0.010000,0.223261,20.884537,0.223356,1.257168,3.650558,0.014349,0.037995
0.010000,0.236188,20.885043,0.236293,1.293675,3.650635,0.007734,0.040203
0.010000,0.249478,20.885592,0.249594,1.330181,3.650634,-0.000086,0.042474
0.010000,0.263132,20.886189,0.263261,1.366687,3.650552,-0.008277,0.044807
0.010000,0.277149,20.886834,0.277293,1.403190,3.650380,-0.017173,0.047204
0.010000,0.291529,20.887531,0.291690,1.439692,3.650107,-0.027262,0.049663
0.010000,0.306272,20.888282,0.306452,1.476189,3.649731,-0.037584,0.052184
0.010000,0.321377,20.889091,0.321579,1.512681,3.649241,-0.048996,0.054769
0.010000,0.336844,20.889959,0.337071,1.549168,3.648629,-0.061253,0.057416
0.010000,0.352673,20.890891,0.352927,1.585646,3.647888,-0.074123,0.060126
0.010000,0.368864,20.891888,0.369148,1.622116,3.647005,-0.088261,0.062898
0.010000,0.385415,20.892954,0.385734,1.658576,3.645977,-0.102765,0.065732
0.010000,0.402327,20.894092,0.402684,1.695024,3.644791,-0.118688,0.068629
0.010000,0.419599,20.895305,0.419999,1.731459,3.643438,-0.135229,0.071588
0.010000,0.437231,20.896596,0.437678,1.767878,3.641911,-0.152772,0.074609
0.010000,0.455221,20.897968,0.455720,1.804280,3.640196,-0.171482,0.077691
0.010000,0.473570,20.899426,0.474127,1.840662,3.638287,-0.190838,0.080835
0.010000,0.492277,20.900972,0.492897,1.877024,3.636173,-0.211480,0.084041
0.010000,0.511340,20.902609,0.512031,1.913363,3.633843,-0.232930,0.087308
0.010000,0.530760,20.904341,0.531528,1.949675,3.631286,-0.255693,0.090636
0.010000,0.550535,20.906172,0.551387,1.985960,3.628494,-0.279198,0.094025
0.010000,0.570664,20.908106,0.571609,2.022215,3.625455,-0.303898,0.097474
0.010000,0.591147,20.910145,0.592194,2.058437,3.622159,-0.329656,0.100983
0.010000,0.611983,20.912294,0.613140,2.094623,3.618594,-0.356481,0.104552
0.010000,0.633170,20.914556,0.634448,2.130770,3.614750,-0.384377,0.108180
0.010000,0.654708,20.916935,0.656116,2.166876,3.610617,-0.413347,0.111868
0.010000,0.676595,20.919435,0.678146,2.202938,3.606183,-0.443392,0.115614
0.010000,0.698830,20.922060,0.700535,2.238952,3.601438,-0.474511,0.119418
0.010000,0.721412,20.924814,0.723284,2.274916,3.596371,-0.506698,0.123280
0.010000,0.744339,20.927701,0.746393,2.310826,3.590971,-0.539946,0.127199
0.010000,0.767611,20.930724,0.769859,2.346678,3.585229,-0.574244,0.131175
0.010000,0.791224,20.933888,0.793684,2.382469,3.579133,-0.609578,0.135207
0.010000,0.815179,20.937196,0.817866,2.418196,3.572674,-0.645931,0.139294
