dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000014,14.499700,0.000030,0.005970,0.597015,59.701493,0.000013
0.010000,0.000033,14.499700,0.000076,0.004641,-0.132962,-72.997713,6.283181
0.010000,0.000342,14.499700,0.000385,0.030895,2.625471,275.843278,6.283143
0.010000,0.000891,14.499700,0.000934,0.054925,2.402953,-22.251727,6.283076
0.010000,0.001749,14.499700,0.001793,0.085820,3.089496,68.654225,6.282970
0.010000,0.002951,14.499699,0.002994,0.120147,3.432742,34.324680,6.282822
0.010000,0.004495,14.499699,0.004539,0.154474,3.432696,-0.004601,6.282632
0.010000,0.006383,14.499697,0.006427,0.188800,3.432635,-0.006157,6.282400
0.010000,0.008615,14.499695,0.008658,0.223126,3.432562,-0.007244,6.282125
0.010000,0.011189,14.499692,0.011233,0.257451,3.432474,-0.008868,6.281808
0.010000,0.014107,14.499688,0.014150,0.291775,3.432369,-0.010465,6.281449
0.010000,0.017368,14.499681,0.017411,0.326097,3.432251,-0.011815,6.281048
0.010000,0.020972,14.499673,0.021016,0.360418,3.432118,-0.013318,6.280605
0.010000,0.024919,14.499662,0.024963,0.394738,3.431968,-0.015014,6.280119
0.010000,0.029210,14.499648,0.029253,0.429056,3.431799,-0.016867,6.279591
0.010000,0.033844,14.499630,0.033887,0.463372,3.431614,-0.018492,6.279022
0.010000,0.038820,14.499607,0.038864,0.497686,3.431412,-0.020215,6.278410
0.010000,0.044140,14.499580,0.044184,0.531998,3.431188,-0.022395,6.277756
0.010000,0.049803,14.499547,0.049847,0.566307,3.430945,-0.024275,6.277059
0.010000,0.055809,14.499508,0.055853,0.600614,3.430682,-0.026261,6.276321
0.010000,0.062158,14.499462,0.062202,0.634918,3.430394,-0.028852,6.275541
0.010000,0.068850,14.499408,0.068895,0.669219,3.430086,-0.030783,6.274719
0.010000,0.075885,14.499346,0.075930,0.703517,3.429751,-0.033498,6.273855
0.010000,0.083263,14.499274,0.083308,0.737811,3.429392,-0.035894,6.272949
0.010000,0.090984,14.499191,0.091029,0.772101,3.429006,-0.038657,6.272001
0.010000,0.099047,14.499097,0.099093,0.806386,3.428591,-0.041488,6.271011
0.010000,0.107453,14.498990,0.107499,0.840668,3.428147,-0.044367,6.269979
0.010000,0.116201,14.498870,0.116249,0.874945,3.427671,-0.047628,6.268906
0.010000,0.125293,14.498735,0.125341,0.909216,3.427164,-0.050664,6.267791
0.010000,0.134726,14.498584,0.134776,0.943482,3.426620,-0.054372,6.266634
0.010000,0.144502,14.498417,0.144553,0.977743,3.426045,-0.057585,6.265435
0.010000,0.154620,14.498231,0.154673,1.011997,3.425427,-0.061717,6.264195
0.010000,0.165081,14.498025,0.165136,1.046245,3.424774,-0.065355,6.262914
0.010000,0.175883,14.497799,0.175941,1.080486,3.424079,-0.069525,6.261591
0.010000,0.187028,14.497551,0.187088,1.114719,3.423339,-0.073978,6.260227
0.010000,0.198514,14.497279,0.198577,1.148945,3.422557,-0.078202,6.258821
0.010000,0.210342,14.496982,0.210409,1.183162,3.421726,-0.083095,6.257374
0.010000,0.222511,14.496659,0.222583,1.217370,3.420847,-0.087924,6.255887
0.010000,0.235022,14.496308,0.235098,1.251570,3.419918,-0.092837,6.254358
0.010000,0.247874,14.495927,0.247956,1.285759,3.418935,-0.098296,6.252788
0.010000,0.261067,14.495515,0.261155,1.319938,3.417896,-0.103912,6.251177
0.010000,0.274601,14.495071,0.274696,1.354106,3.416801,-0.109537,6.249526
0.010000,0.288475,14.494592,0.288579,1.388262,3.415647,-0.115377,6.247834
0.010000,0.302690,14.494077,0.302803,1.422407,3.414429,-0.121855,6.246101
