dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.500008,4.000300,0.000030,0.005970,0.597015,59.701493,0.000007
0.010000,2.500064,4.000300,0.000086,0.005590,-0.038058,-63.507312,6.283172
0.010000,2.500283,4.000300,0.000305,0.021954,1.636454,167.451190,6.283126
0.010000,2.500673,4.000300,0.000696,0.039030,1.707561,7.110722,6.283043
0.010000,2.501283,4.000300,0.001305,0.060984,2.195471,48.790992,6.282914
0.010000,2.502137,4.000300,0.002159,0.085379,2.439480,24.400905,6.282734
0.010000,2.503235,4.000299,0.003257,0.109775,2.439582,0.010224,6.282502
0.010000,2.504576,4.000298,0.004599,0.134172,2.439716,0.013337,6.282219
0.010000,2.506162,4.000296,0.006184,0.158571,2.439879,0.016385,6.281885
0.010000,2.507992,4.000293,0.008014,0.182972,2.440074,0.019500,6.281499
0.010000,2.510066,4.000289,0.010088,0.207375,2.440302,0.022750,6.281061
0.010000,2.512383,4.000284,0.012406,0.231780,2.440562,0.026018,6.280572
0.010000,2.514945,4.000276,0.014968,0.256189,2.440857,0.029485,6.280032
0.010000,2.517751,4.000267,0.017774,0.280601,2.441186,0.032934,6.279441
0.010000,2.520801,4.000254,0.020824,0.305016,2.441553,0.036633,6.278798
0.010000,2.524096,4.000239,0.024118,0.329436,2.441957,0.040455,6.278104
0.010000,2.527634,4.000219,0.027657,0.353860,2.442400,0.044289,6.277359
0.010000,2.531417,4.000196,0.031440,0.378289,2.442885,0.048523,6.276562
0.010000,2.535444,4.000168,0.035467,0.402723,2.443413,0.052732,6.275715
0.010000,2.539716,4.000134,0.039738,0.427163,2.443985,0.057224,6.274816
0.010000,2.544232,4.000094,0.044255,0.451609,2.444604,0.061891,6.273866
0.010000,2.548992,4.000047,0.049015,0.476061,2.445271,0.066732,6.272866
0.010000,2.553997,3.999993,0.054020,0.500521,2.445990,0.071892,6.271814
0.010000,2.559246,3.999930,0.059270,0.524989,2.446762,0.077229,6.270712
0.010000,2.564741,3.999858,0.064765,0.549465,2.447590,0.082781,6.269559
0.010000,2.570480,3.999777,0.070504,0.573950,2.448476,0.088589,6.268356
0.010000,2.576463,3.999684,0.076489,0.598444,2.449424,0.094792,6.267102
0.010000,2.582692,3.999580,0.082718,0.622948,2.450435,0.101090,6.265797
0.010000,2.589165,3.999463,0.089193,0.647463,2.451513,0.107812,6.264442
0.010000,2.595884,3.999332,0.095913,0.671990,2.452661,0.114804,6.263037
0.010000,2.602848,3.999187,0.102878,0.696529,2.453882,0.122069,6.261582
0.010000,2.610057,3.999026,0.110089,0.721081,2.455179,0.129727,6.260076
0.010000,2.617511,3.998848,0.117545,0.745646,2.456555,0.137634,6.258521
0.010000,2.625211,3.998652,0.125248,0.770226,2.458015,0.145980,6.256916
0.010000,2.633156,3.998436,0.133196,0.794822,2.459561,0.154560,6.255262
0.010000,2.641347,3.998200,0.141390,0.819434,2.461197,0.163640,6.253558
0.010000,2.649784,3.997943,0.149831,0.844063,2.462927,0.172997,6.251805
0.010000,2.658467,3.997663,0.158518,0.868711,2.464755,0.182760,6.250002
0.010000,2.667395,3.997358,0.167452,0.893378,2.466684,0.192932,6.248151
0.010000,2.676570,3.997028,0.176632,0.918065,2.468719,0.203503,6.246251
0.010000,2.685991,3.996670,0.186060,0.942773,2.470863,0.214414,6.244303
0.010000,2.695658,3.996285,0.195735,0.967505,2.473121,0.225844,6.242306
0.010000,2.705572,3.995869,0.205658,0.992260,2.475498,0.237604,6.240261
0.010000,2.715733,3.995422,0.215828,1.017039,2.477996,0.249845,6.238168
