dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,4.000300,0.000030,0.005970,0.597015,59.701493,0.000000
0.010000,0.000000,4.000300,0.000030,0.000000,-0.597015,-119.402985,0.000000
0.010000,0.000248,4.000300,0.000278,0.024791,2.479104,307.611940,0.000000
0.010000,0.000726,4.000300,0.000755,0.047761,2.297015,-18.208955,0.000000
0.010000,0.001472,4.000300,0.001502,0.074627,2.686567,38.955224,0.000000
0.010000,0.002517,4.000300,0.002546,0.104478,2.985075,29.850746,0.000000
0.010000,0.003860,4.000300,0.003890,0.134328,2.985075,0.000000,0.000000
0.010000,0.005502,4.000300,0.005531,0.164179,2.985075,-0.000000,0.000000
0.010000,0.007442,4.000300,0.007472,0.194030,2.985075,0.000000,0.000000
0.010000,0.009681,4.000300,0.009711,0.223881,2.985075,-0.000000,0.000000
0.010000,0.012218,4.000300,0.012248,0.253731,2.985075,0.000000,0.000000
0.010000,0.015054,4.000300,0.015084,0.283582,2.985075,-0.000000,0.000000
0.010000,0.018188,4.000300,0.018218,0.313433,2.985075,0.000000,0.000000
0.010000,0.021621,4.000300,0.021651,0.343284,2.985075,0.000000,0.000000
0.010000,0.025352,4.000300,0.025382,0.373134,2.985075,-0.000000,0.000000
0.010000,0.029382,4.000300,0.029412,0.402985,2.985075,0.000000,0.000000
0.010000,0.033711,4.000300,0.033740,0.432836,2.985075,0.000000,0.000000
0.010000,0.038337,4.000300,0.038367,0.462687,2.985075,-0.000000,0.000000
0.010000,0.043263,4.000300,0.043293,0.492537,2.985075,0.000000,0.000000
0.010000,0.048487,4.000300,0.048517,0.522388,2.985075,-0.000000,0.000000
0.010000,0.054009,4.000300,0.054039,0.552239,2.985075,0.000000,0.000000
0.010000,0.059830,4.000300,0.059860,0.582090,2.985075,-0.000000,0.000000
0.010000,0.065949,4.000300,0.065979,0.611940,2.985075,0.000000,0.000000
0.010000,0.072367,4.000300,0.072397,0.641791,2.985075,0.000000,0.000000
0.010000,0.079084,4.000300,0.079114,0.671642,2.985075,-0.000000,0.000000
0.010000,0.086099,4.000300,0.086129,0.701493,2.985075,-0.000000,0.000000
0.010000,0.093412,4.000300,0.093442,0.731343,2.985075,0.000000,0.000000
0.010000,0.101024,4.000300,0.101054,0.761194,2.985075,-0.000000,0.000000
0.010000,0.108934,4.000300,0.108964,0.791045,2.985075,-0.000000,0.000000
0.010000,0.117143,4.000300,0.117173,0.820896,2.985075,0.000000,0.000000
0.010000,0.125651,4.000300,0.125681,0.850746,2.985075,0.000000,0.000000
0.010000,0.134457,4.000300,0.134487,0.880597,2.985075,-0.000000,0.000000
0.010000,0.143561,4.000300,0.143591,0.910448,2.985075,0.000000,0.000000
0.010000,0.152964,4.000300,0.152994,0.940299,2.985075,0.000000,0.000000
0.010000,0.162666,4.000300,0.162696,0.970149,2.985075,0.000000,0.000000
0.010000,0.172666,4.000300,0.172696,1.000000,2.985075,-0.000000,0.000000
0.010000,0.182964,4.000300,0.182994,1.029851,2.985075,-0.000000,0.000000
0.010000,0.193561,4.000300,0.193591,1.059701,2.985075,0.000000,0.000000
0.010000,0.204457,4.000300,0.204487,1.089552,2.985075,-0.000000,0.000000
0.010000,0.215651,4.000300,0.215681,1.119403,2.985075,-0.000000,0.000000
0.010000,0.227143,4.000300,0.227173,1.149254,2.985075,0.000000,0.000000
0.010000,0.238934,4.000300,0.238964,1.179104,2.985075,-0.000000,0.000000
0.010000,0.251024,4.000300,0.251054,1.208955,2.985075,0.000000,0.000000
0.010000,0.263412,4.000300,0.263442,1.238806,2.985075,0.000000,0.000000
0.010000,0.276099,4.000300,0.276129,1.268657,2.985075,-0.000000,0.000000
0.010000,0.289084,4.000300,0.289114,1.298507,2.985075,0.000000,0.000000
0.010000,0.302367,4.000300,0.302397,1.328358,2.985075,-0.000000,0.000000
0.010000,0.315949,4.000300,0.315979,1.358209,2.985075,0.000000,0.000000
0.010000,0.329830,4.000300,0.329860,1.388060,2.985075,-0.000000,0.000000
0.010000,0.344009,4.000300,0.344039,1.417910,2.985075,0.000000,0.000000
0.010000,0.358487,4.000300,0.358517,1.447761,2.985075,-0.000000,0.000000
0.010000,0.373263,4.000300,0.373293,1.477612,2.985075,-0.000000,0.000000
0.010000,0.388337,4.000300,0.388367,1.507463,2.985075,0.000000,0.000000
0.010000,0.403711,4.000300,0.403740,1.537313,2.985075,0.000000,0.000000
0.010000,0.419382,4.000300,0.419412,1.567164,2.985075,-0.000000,0.000000
0.010000,0.435352,4.000300,0.435382,1.597015,2.985075,0.000000,0.000000
0.010000,0.451621,4.000300,0.451651,1.626866,2.985075,-0.000000,0.000000
0.010000,0.468188,4.000300,0.468218,1.656716,2.985075,0.000000,0.000000
0.010000,0.485054,4.000300,0.485084,1.686567,2.985075,0.000000,0.000000
0.010000,0.502218,4.000300,0.502248,1.716418,2.985075,0.000000,0.000000
0.010000,0.519681,4.000300,0.519711,1.746269,2.985075,-0.000000,0.000000
0.010000,0.537442,4.000300,0.537472,1.776119,2.985075,-0.000000,0.000000
0.010000,0.555502,4.000300,0.555531,1.805970,2.985075,-0.000000,0.000000
0.010000,0.573860,4.000300,0.573890,1.835821,2.985075,0.000000,0.000000
0.010000,0.592517,4.000300,0.592546,1.865672,2.985075,0.000000,0.000000
0.010000,0.611472,4.000300,0.611502,1.895522,2.985075,-0.000000,0.000000
0.010000,0.630726,4.000300,0.630755,1.925373,2.985075,0.000000,0.000000
0.010000,0.650278,4.000300,0.650308,1.955224,2.985075,0.000000,0.000000
0.010000,0.670129,4.000300,0.670158,1.985075,2.985075,-0.000000,0.000000
0.010000,0.690278,4.000300,0.690308,2.014925,2.985075,0.000000,0.000000
0.010000,0.710726,4.000300,0.710755,2.044776,2.985075,-0.000000,0.000000
0.010000,0.731472,4.000300,0.731502,2.074627,2.985075,0.000000,0.000000
0.010000,0.752517,4.000300,0.752546,2.104478,2.985075,-0.000000,0.000000
0.010000,0.773860,4.000300,0.773890,2.134328,2.985075,0.000000,0.000000
0.010000,0.795502,4.000300,0.795531,2.164179,2.985075,0.000000,0.000000
0.010000,0.817442,4.000300,0.817472,2.194030,2.985075,-0.000000,0.000000
0.010000,0.839681,4.000300,0.839711,2.223881,2.985075,0.000000,0.000000
0.010000,0.862218,4.000300,0.862248,2.253731,2.985075,-0.000000,0.000000
0.010000,0.885054,4.000300,0.885084,2.283582,2.985075,0.000000,0.000000
0.010000,0.908188,4.000300,0.908218,2.313433,2.985075,-0.000000,0.000000
0.010000,0.931621,4.000300,0.931651,2.343284,2.985075,0.000000,0.000000
0.010000,0.955352,4.000300,0.955382,2.373134,2.985075,-0.000000,0.000000
0.010000,0.979382,4.000300,0.979412,2.402985,2.985075,0.000000,0.000000
0.010000,1.003711,4.000300,1.003740,2.432836,2.985075,0.000000,0.000000
0.010000,1.028337,4.000300,1.028367,2.462687,2.985075,-0.000000,0.000000
0.010000,1.053263,4.000300,1.053293,2.492537,2.985075,0.000000,0.000000
0.010000,1.078487,4.000300,1.078517,2.522388,2.985075,0.000000,0.000000
