dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.499992,6.059700,0.000025,0.005000,0.500000,50.000000,0.000008
0.010000,2.500063,6.059700,0.000097,0.007159,0.215899,-28.410114,6.283176
0.010000,2.500328,6.059700,0.000362,0.026492,1.933330,171.743081,6.283139
0.010000,2.500799,6.059700,0.000832,0.047097,2.060497,12.716685,6.283072
0.010000,2.501506,6.059700,0.001539,0.070646,2.354825,29.432894,6.282971
0.010000,2.502448,6.059700,0.002481,0.094193,2.354783,-0.004251,6.282837
0.010000,2.503625,6.059699,0.003658,0.117741,2.354724,-0.005915,6.282670
0.010000,2.505038,6.059698,0.005071,0.141287,2.354651,-0.007324,6.282469
0.010000,2.506686,6.059697,0.006719,0.164833,2.354563,-0.008797,6.282235
0.010000,2.508570,6.059695,0.008603,0.188377,2.354459,-0.010360,6.281967
0.010000,2.510689,6.059692,0.010722,0.211921,2.354340,-0.011913,6.281666
0.010000,2.513044,6.059688,0.013077,0.235463,2.354205,-0.013473,6.281331
0.010000,2.515634,6.059683,0.015667,0.259003,2.354055,-0.015054,6.280963
0.010000,2.518459,6.059676,0.018493,0.282542,2.353887,-0.016723,6.280561
0.010000,2.521520,6.059667,0.021553,0.306079,2.353703,-0.018428,6.280127
0.010000,2.524816,6.059656,0.024849,0.329614,2.353503,-0.019993,6.279658
0.010000,2.528348,6.059643,0.028381,0.353147,2.353283,-0.021967,6.279157
0.010000,2.532114,6.059627,0.032148,0.376678,2.353047,-0.023634,6.278622
0.010000,2.536116,6.059607,0.036150,0.400205,2.352792,-0.025520,6.278054
0.010000,2.540354,6.059584,0.040387,0.423731,2.352517,-0.027459,6.277453
0.010000,2.544826,6.059557,0.044860,0.447253,2.352224,-0.029359,6.276818
0.010000,2.549534,6.059526,0.049567,0.470772,2.351909,-0.031498,6.276150
0.010000,2.554476,6.059489,0.054510,0.494288,2.351574,-0.033434,6.275449
0.010000,2.559654,6.059447,0.059688,0.517800,2.351217,-0.035752,6.274715
0.010000,2.565067,6.059399,0.065101,0.541308,2.350838,-0.037909,6.273948
0.010000,2.570715,6.059345,0.070749,0.564813,2.350436,-0.040148,6.273147
0.010000,2.576598,6.059283,0.076633,0.588313,2.350009,-0.042692,6.272314
0.010000,2.582716,6.059214,0.082751,0.611808,2.349560,-0.044969,6.271447
0.010000,2.589068,6.059137,0.089104,0.635299,2.349083,-0.047653,6.270548
0.010000,2.595655,6.059050,0.095691,0.658785,2.348581,-0.050200,6.269616
0.010000,2.602477,6.058955,0.102514,0.682265,2.348052,-0.052940,6.268651
0.010000,2.609534,6.058848,0.109572,0.705740,2.347494,-0.055770,6.267653
0.010000,2.616825,6.058731,0.116864,0.729209,2.346908,-0.058629,6.266623
0.010000,2.624351,6.058603,0.124390,0.752672,2.346291,-0.061682,6.265559
0.010000,2.632111,6.058462,0.132152,0.776129,2.345644,-0.064740,6.264463
0.010000,2.640105,6.058308,0.140147,0.799578,2.344964,-0.068010,6.263335
0.010000,2.648333,6.058139,0.148378,0.823021,2.344251,-0.071279,6.262174
0.010000,2.656796,6.057957,0.156842,0.846456,2.343503,-0.074723,6.260981
0.010000,2.665493,6.057758,0.165541,0.869883,2.342721,-0.078278,6.259755
0.010000,2.674423,6.057543,0.174474,0.893302,2.341902,-0.081849,6.258497
0.010000,2.683587,6.057311,0.183641,0.916713,2.341044,-0.085781,6.257207
0.010000,2.692985,6.057061,0.193042,0.940114,2.340149,-0.089495,6.255885
0.010000,2.702616,6.056791,0.202677,0.963506,2.339213,-0.093668,6.254531
