dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.500008,3.940300,0.000025,0.005000,0.500000,50.000000,0.000008
0.010000,2.500044,3.940300,0.000061,0.003610,-0.138975,-63.897530,6.283176
0.010000,2.500229,3.940300,0.000246,0.018508,1.489746,162.872179,6.283139
0.010000,2.500558,3.940300,0.000575,0.032903,1.439504,-5.024227,6.283072
0.010000,2.501052,3.940300,0.001069,0.049354,1.645174,20.566929,6.282971
0.010000,2.501710,3.940300,0.001727,0.065807,1.645218,0.004450,6.282837
0.010000,2.502533,3.940299,0.002549,0.082259,1.645276,0.005788,6.282670
0.010000,2.503520,3.940299,0.003537,0.098713,1.645349,0.007327,6.282469
0.010000,2.504671,3.940298,0.004688,0.115167,1.645438,0.008850,6.282235
0.010000,2.505988,3.940296,0.006004,0.131623,1.645541,0.010344,6.281967
0.010000,2.507468,3.940294,0.007485,0.148079,1.645660,0.011886,6.281666
0.010000,2.509114,3.940292,0.009131,0.164537,1.645795,0.013469,6.281331
0.010000,2.510924,3.940288,0.010941,0.180997,1.645946,0.015088,6.280963
0.010000,2.512898,3.940283,0.012915,0.197458,1.646113,0.016704,6.280561
0.010000,2.515038,3.940277,0.015054,0.213921,1.646296,0.018358,6.280127
0.010000,2.517341,3.940269,0.017358,0.230386,1.646498,0.020178,6.279658
0.010000,2.519810,3.940260,0.019827,0.246853,1.646716,0.021787,6.279157
0.010000,2.522443,3.940249,0.022460,0.263322,1.646953,0.023691,6.278622
0.010000,2.525241,3.940235,0.025258,0.279795,1.647208,0.025527,6.278054
0.010000,2.528204,3.940219,0.028221,0.296269,1.647482,0.027418,6.277453
0.010000,2.531331,3.940200,0.031348,0.312747,1.647776,0.029433,6.276818
0.010000,2.534623,3.940178,0.034640,0.329228,1.648090,0.031383,6.276150
0.010000,2.538080,3.940153,0.038097,0.345712,1.648426,0.033584,6.275449
0.010000,2.541702,3.940123,0.041719,0.362200,1.648782,0.035632,6.274715
0.010000,2.545489,3.940090,0.045506,0.378692,1.649162,0.037912,6.273948
0.010000,2.549441,3.940052,0.049458,0.395187,1.649564,0.040259,6.273147
0.010000,2.553557,3.940009,0.053575,0.411687,1.649989,0.042523,6.272314
0.010000,2.557839,3.939960,0.057857,0.428192,1.650440,0.045109,6.271447
0.010000,2.562286,3.939906,0.062304,0.444701,1.650916,0.047552,6.270548
0.010000,2.566897,3.939846,0.066916,0.461215,1.651418,0.050238,6.269616
0.010000,2.571674,3.939778,0.071694,0.477734,1.651948,0.052940,6.268651
0.010000,2.576616,3.939704,0.076636,0.494260,1.652505,0.055735,6.267653
0.010000,2.581724,3.939622,0.081744,0.510790,1.653092,0.058674,6.266623
0.010000,2.586996,3.939532,0.087017,0.527328,1.653708,0.061644,6.265559
0.010000,2.592434,3.939433,0.092456,0.543871,1.654356,0.064782,6.264463
0.010000,2.598037,3.939325,0.098060,0.560421,1.655036,0.067949,6.263335
0.010000,2.603806,3.939207,0.103830,0.576979,1.655749,0.071300,6.262174
0.010000,2.609740,3.939079,0.109766,0.593544,1.656496,0.074715,6.260981
0.010000,2.615839,3.938940,0.115867,0.610117,1.657278,0.078244,6.259755
0.010000,2.622104,3.938789,0.122134,0.626698,1.658098,0.081959,6.258497
0.010000,2.628535,3.938626,0.128567,0.643287,1.658954,0.085622,6.257207
0.010000,2.635132,3.938450,0.135165,0.659886,1.659850,0.089643,6.255885
0.010000,2.641894,3.938261,0.141930,0.676494,1.660786,0.093552,6.254531
0.010000,2.648822,3.938058,0.148861,0.693111,1.661764,0.097755,6.253145
0.010000,2.655916,3.937839,0.155959,0.709739,1.662784,0.102018,6.251727
0.010000,2.663176,3.937606,0.163223,0.726378,1.663848,0.106413,6.250277
0.010000,2.670602,3.937356,0.170653,0.743027,1.664957,0.110941,6.248796
0.010000,2.678194,3.937089,0.178250,0.759688,1.666114,0.115645,6.247283
0.010000,2.685953,3.936804,0.186013,0.776361,1.667318,0.120414,6.245739
0.010000,2.693878,3.936501,0.193944,0.793047,1.668572,0.125371,6.244163
0.010000,2.701969,3.936179,0.202041,0.809746,1.669876,0.130442,6.242556
0.010000,2.710226,3.935836,0.210306,0.826458,1.671233,0.135740,6.240919
0.010000,2.718650,3.935473,0.218738,0.843185,1.672644,0.141017,6.239250
0.010000,2.727241,3.935088,0.227337,0.859926,1.674109,0.146584,6.237551
0.010000,2.735998,3.934680,0.236104,0.876682,1.675632,0.152244,6.235821
0.010000,2.744922,3.934249,0.245038,0.893454,1.677212,0.158052,6.234061
0.010000,2.754013,3.933794,0.254141,0.910243,1.678853,0.164020,6.232270
0.010000,2.763271,3.933314,0.263411,0.927048,1.680554,0.170149,6.230449
0.010000,2.772696,3.932808,0.272850,0.943871,1.682318,0.176350,6.228598
0.010000,2.782289,3.932275,0.282457,0.960713,1.684146,0.182815,6.226718
0.010000,2.792048,3.931714,0.292233,0.977573,1.686039,0.189380,6.224808
0.010000,2.801975,3.931124,0.302177,0.994453,1.688000,0.196060,6.222868
0.010000,2.812070,3.930504,0.312291,1.011354,1.690030,0.202957,6.220899
0.010000,2.822332,3.929854,0.322574,1.028275,1.692130,0.209988,6.218901
0.010000,2.832762,3.929172,0.333026,1.045218,1.694301,0.217111,6.216874
0.010000,2.843360,3.928457,0.343648,1.062183,1.696545,0.224470,6.214819
0.010000,2.854125,3.927709,0.354439,1.079172,1.698865,0.231951,6.212735
0.010000,2.865059,3.926926,0.365401,1.096185,1.701260,0.239558,6.210623
0.010000,2.876161,3.926107,0.376533,1.113222,1.703734,0.247317,6.208483
0.010000,2.887432,3.925251,0.387836,1.130285,1.706286,0.255248,6.206315
0.010000,2.898871,3.924357,0.399310,1.147374,1.708919,0.263310,6.204120
0.010000,2.910478,3.923424,0.410955,1.164490,1.711634,0.271516,6.201898
0.010000,2.922254,3.922452,0.422771,1.181635,1.714433,0.279863,6.199648
0.010000,2.934199,3.921438,0.434759,1.198808,1.717316,0.288351,6.197372
0.010000,2.946314,3.920382,0.446919,1.216011,1.720286,0.296975,6.195070
0.010000,2.958597,3.919282,0.459252,1.233244,1.723344,0.305744,6.192741
0.010000,2.971050,3.918138,0.471757,1.250509,1.726490,0.314621,6.190387
0.010000,2.983672,3.916948,0.484435,1.267806,1.729726,0.323635,6.188007
0.010000,2.996463,3.915711,0.497286,1.285137,1.733054,0.332784,6.185602
0.010000,3.009425,3.914427,0.510311,1.302502,1.736475,0.342048,6.183172
0.010000,3.022556,3.913093,0.523510,1.319901,1.739989,0.351428,6.180717
0.010000,3.035858,3.911708,0.536884,1.337337,1.743598,0.360930,6.178239
0.010000,3.049330,3.910272,0.550432,1.354810,1.747303,0.370530,6.175736
0.010000,3.062972,3.908783,0.564155,1.372322,1.751106,0.380214,6.173210
0.010000,3.076785,3.907240,0.578054,1.389872,1.755006,0.390032,6.170661
0.010000,3.090768,3.905642,0.592128,1.407462,1.759005,0.399929,6.168089
0.010000,3.104923,3.903987,0.606379,1.425093,1.763104,0.409914,6.165495
0.010000,3.119248,3.902274,0.620807,1.442766,1.767304,0.419990,6.162879
0.010000,3.133745,3.900502,0.635412,1.460482,1.771605,0.430121,6.160241
0.010000,3.148414,3.898670,0.650194,1.478242,1.776009,0.440330,6.157583
0.010000,3.163254,3.896776,0.665155,1.496047,1.780515,0.450615,6.154903
0.010000,3.178266,3.894819,0.680294,1.513898,1.785124,0.460949,6.152203
0.010000,3.193450,3.892797,0.695612,1.531797,1.789838,0.471334,6.149483
0.010000,3.208806,3.890710,0.711109,1.549743,1.794655,0.481762,6.146744
0.010000,3.224335,3.888556,0.726787,1.567739,1.799578,0.492226,6.143986
0.010000,3.240036,3.886334,0.742644,1.585785,1.804605,0.502718,6.141210
0.010000,3.255910,3.884043,0.758683,1.603882,1.809737,0.513232,6.138416
0.010000,3.271958,3.881680,0.774904,1.622032,1.814975,0.523759,6.135604
0.010000,3.288178,3.879245,0.791306,1.640235,1.820318,0.534292,6.132775
0.010000,3.304572,3.876737,0.807891,1.658493,1.825766,0.544822,6.129930
0.010000,3.321140,3.874153,0.824659,1.676806,1.831319,0.555342,6.127069
0.010000,3.337882,3.871493,0.841611,1.695176,1.836978,0.565843,6.124192
0.010000,3.354798,3.868756,0.858747,1.713603,1.842741,0.576326,6.121301
0.010000,3.371888,3.865939,0.876068,1.732089,1.848608,0.586755,6.118395
0.010000,3.389153,3.863042,0.893574,1.750635,1.854580,0.597142,6.115476
0.010000,3.406593,3.860063,0.911266,1.769242,1.860655,0.607490,6.112543
0.010000,3.424208,3.857001,0.929145,1.787910,1.866833,0.617787,6.109598
0.010000,3.441998,3.853855,0.947212,1.806641,1.873112,0.627973,6.106641
0.010000,3.459964,3.850622,0.965466,1.825436,1.879493,0.638107,6.103673
0.010000,3.478106,3.847302,0.983909,1.844296,1.885975,0.648186,6.100694
0.010000,3.496424,3.843893,1.002541,1.863221,1.892556,0.658086,6.097704
0.010000,3.514918,3.840394,1.021364,1.882214,1.899236,0.667977,6.094706
0.010000,3.533588,3.836804,1.040376,1.901274,1.906013,0.677682,6.091698
0.010000,3.552436,3.833120,1.059580,1.920403,1.912886,0.687323,6.088682
0.010000,3.571460,3.829343,1.078976,1.939601,1.919854,0.696782,6.085659
0.010000,3.590662,3.825469,1.098565,1.958871,1.926916,0.706170,6.082628
0.010000,3.610042,3.821499,1.118347,1.978211,1.934069,0.715338,6.079592
0.010000,3.629599,3.817430,1.138323,1.997624,1.941313,0.724424,6.076549
0.010000,3.649335,3.813262,1.158494,2.017111,1.948646,0.733317,6.073502
0.010000,3.669249,3.808992,1.178861,2.036671,1.956067,0.742040,6.070451
0.010000,3.689342,3.804620,1.199424,2.056307,1.963573,0.750614,6.067397
0.010000,3.709614,3.800143,1.220184,2.076019,1.971163,0.759002,6.064339
0.010000,3.730065,3.795562,1.241143,2.095807,1.978835,0.767185,6.061280
0.010000,3.750696,3.790874,1.262299,2.115673,1.986587,0.775204,6.058220
0.010000,3.771507,3.786078,1.283655,2.135617,1.994417,0.783018,6.055159
0.010000,3.792498,3.781173,1.305212,2.155640,2.002323,0.790637,6.052098
0.010000,3.813669,3.776157,1.326969,2.175743,2.010304,0.798032,6.049038
0.010000,3.835021,3.771030,1.348929,2.195927,2.018356,0.805237,6.045980
0.010000,3.856555,3.765789,1.371090,2.216192,2.026478,0.812222,6.042924
0.010000,3.878269,3.760434,1.393456,2.236538,2.034668,0.818990,6.039872
0.010000,3.900166,3.754963,1.416026,2.256968,2.042923,0.825540,6.036823
0.010000,3.922245,3.749375,1.438800,2.277480,2.051242,0.831864,6.033780
0.010000,3.944506,3.743669,1.461781,2.298076,2.059622,0.837963,6.030742
0.010000,3.966950,3.737843,1.484969,2.318757,2.068060,0.843841,6.027711
0.010000,3.989576,3.731897,1.508364,2.339523,2.076555,0.849490,6.024686
0.010000,4.012387,3.725829,1.531968,2.360374,2.085104,0.854913,6.021670
0.010000,4.035381,3.719637,1.555781,2.381311,2.093705,0.860108,6.018663
0.010000,4.058559,3.713321,1.579804,2.402334,2.102356,0.865071,6.015665
0.010000,4.081922,3.706880,1.604038,2.423445,2.111054,0.869816,6.012678
0.010000,4.105470,3.700313,1.628485,2.444643,2.119798,0.874336,6.009702
0.010000,4.129203,3.693617,1.653144,2.465929,2.128584,0.878631,6.006738
0.010000,4.153121,3.686793,1.678017,2.487303,2.137411,0.882706,6.003787
0.010000,4.177226,3.679839,1.703105,2.508765,2.146277,0.886570,6.000850
0.010000,4.201517,3.672754,1.728408,2.530317,2.155179,0.890217,5.997928
0.010000,4.225995,3.665537,1.753928,2.551958,2.164115,0.893658,5.995021
0.010000,4.250660,3.658187,1.779665,2.573689,2.173084,0.896897,5.992131
0.010000,4.275512,3.650703,1.805620,2.595510,2.182084,0.899935,5.989257
0.010000,4.300553,3.643084,1.831794,2.617421,2.191112,0.902784,5.986402
0.010000,4.325783,3.635329,1.858188,2.639423,2.200166,0.905447,5.983566
0.010000,4.351201,3.627438,1.884803,2.661515,2.209245,0.907931,5.980749
0.010000,4.376809,3.619409,1.911640,2.683699,2.218348,0.910244,5.977953
0.010000,4.402606,3.611241,1.938700,2.705973,2.227472,0.912393,5.975178
0.010000,4.428594,3.602934,1.965983,2.728340,2.236616,0.914388,5.972426
0.010000,4.454773,3.594486,1.993491,2.750797,2.245778,0.916236,5.969697
0.010000,4.481143,3.585898,2.021225,2.773347,2.254957,0.917947,5.966992
0.010000,4.507705,3.577168,2.049185,2.795988,2.264153,0.919531,5.964312
0.010000,4.534460,3.568296,2.077372,2.818722,2.273363,0.920998,5.961657
0.010000,4.561407,3.559281,2.105787,2.841548,2.282586,0.922358,5.959030
0.010000,4.588548,3.550122,2.134432,2.864466,2.291822,0.923617,5.956430
0.010000,4.615883,3.540819,2.163307,2.887477,2.301070,0.924802,5.953858
0.010000,4.643413,3.531371,2.192413,2.910580,2.310329,0.925897,5.951316
0.010000,4.671138,3.521777,2.221750,2.933776,2.319599,0.926947,5.948803
0.010000,4.699058,3.512038,2.251321,2.957065,2.328878,0.927935,5.946322
0.010000,4.727176,3.502152,2.281125,2.980447,2.338167,0.928890,5.943873
0.010000,4.755490,3.492119,2.311165,3.003921,2.347465,0.929819,5.941456
0.010000,4.784002,3.481940,2.341440,3.027489,2.356773,0.930737,5.939073
0.010000,4.812713,3.471612,2.371951,3.051150,2.366089,0.931654,5.936725
0.010000,4.841623,3.461137,2.402700,3.074904,2.375415,0.932584,5.934412
0.010000,4.870732,3.450514,2.433688,3.098752,2.384750,0.933540,5.932136
0.010000,4.900043,3.439743,2.464915,3.122693,2.394096,0.934542,5.929896
0.010000,4.929554,3.428823,2.496382,3.146727,2.403452,0.935590,5.927695
0.010000,4.959268,3.417754,2.528090,3.170855,2.412819,0.936706,5.925533
0.010000,4.989185,3.406537,2.560041,3.195077,2.422198,0.937907,5.923410
0.010000,5.019306,3.395172,2.592235,3.219393,2.431590,0.939198,5.921328
0.010000,5.049632,3.383657,2.624673,3.243803,2.440996,0.940600,5.919288
0.010000,5.080163,3.371994,2.657356,3.268307,2.450417,0.942122,5.917291
0.010000,5.110901,3.360182,2.690285,3.292906,2.459855,0.943772,5.915336
